filename,rootclass,vowelclass,consclass
bangla0,2,0,0
bangla1,2,0,0
bangla2,2,0,0
bangla3,2,0,0
bangla4,2,0,0
bangla5,2,0,0
bangla6,2,0,0
bangla7,2,0,0
bangla8,2,0,0
bangla9,2,0,0
bangla10,2,0,0
bangla11,2,0,0
bangla12,2,0,0
bangla13,2,0,0
bangla14,2,0,0
bangla15,2,0,0
bangla16,2,0,0
bangla17,2,0,0
bangla18,2,0,0
bangla19,2,0,0
bangla20,2,0,0
bangla21,2,0,0
bangla22,2,0,0
bangla23,2,0,0
bangla24,2,0,0
bangla25,2,0,0
bangla26,2,0,0
bangla27,2,0,0
bangla28,2,0,0
bangla29,2,0,0
bangla30,2,0,0
bangla31,2,0,0
bangla32,2,0,0
bangla33,2,0,0
bangla34,2,0,0
bangla35,2,0,0
bangla36,2,0,0
bangla37,2,0,0
bangla38,2,0,0
bangla39,2,0,0
bangla40,2,0,0
bangla41,2,0,0
bangla42,2,0,0
bangla43,2,0,0
bangla44,2,0,0
bangla45,2,0,0
bangla46,2,0,0
bangla47,2,0,0
bangla48,2,0,0
bangla49,2,0,0
bangla50,2,0,0
bangla51,2,0,0
bangla52,2,0,0
bangla53,2,0,0
bangla54,2,0,0
bangla55,2,0,0
bangla56,2,0,0
bangla57,2,0,0
bangla58,2,0,0
bangla59,2,0,0
bangla60,2,0,0
bangla61,2,0,0
bangla62,2,0,0
bangla63,2,0,0
bangla64,2,0,0
bangla65,2,0,0
bangla66,2,0,0
bangla67,2,0,0
bangla68,2,0,0
bangla69,2,0,0
bangla70,2,0,0
bangla71,2,0,0
bangla72,2,0,0
bangla73,2,0,0
bangla74,2,0,0
bangla75,2,0,0
bangla76,2,0,0
bangla77,2,0,0
bangla78,2,0,0
bangla79,2,0,0
bangla80,2,0,0
bangla81,2,0,0
bangla82,2,0,0
bangla83,2,0,0
bangla84,2,0,0
bangla85,2,0,0
bangla86,2,0,0
bangla87,2,0,0
bangla88,2,0,0
bangla89,2,0,0
bangla90,2,0,0
bangla91,2,0,0
bangla92,2,0,0
bangla93,2,0,0
bangla94,2,0,0
bangla95,2,0,0
bangla96,2,0,0
bangla97,2,0,0
bangla98,2,0,0
bangla99,2,0,0
bangla100,2,0,0
bangla101,2,0,0
bangla102,2,0,0
bangla103,2,0,0
bangla104,2,0,0
bangla105,2,0,0
bangla106,2,0,0
bangla107,2,0,0
bangla108,2,0,0
bangla109,2,0,0
bangla110,2,0,0
bangla111,2,0,0
bangla112,2,0,0
bangla113,2,0,0
bangla114,2,0,0
bangla115,2,0,0
bangla116,2,0,0
bangla117,2,0,0
bangla118,2,0,0
bangla119,2,0,0
bangla120,2,0,0
bangla121,2,0,0
bangla122,2,0,0
bangla123,2,0,0
bangla124,2,0,0
bangla125,2,0,0
bangla126,2,0,0
bangla127,2,0,0
bangla128,2,0,0
bangla129,2,0,0
bangla130,2,0,0
bangla131,2,0,0
bangla132,2,0,0
bangla133,2,0,0
bangla134,2,0,0
bangla135,2,0,0
bangla136,2,0,0
bangla137,2,0,0
bangla138,2,0,0
bangla139,2,0,0
bangla140,2,0,0
bangla141,2,0,0
bangla142,2,0,0
bangla143,2,0,0
bangla144,2,0,0
bangla145,2,0,0
bangla146,2,0,0
bangla147,2,0,0
bangla148,2,0,0
bangla149,2,0,0
bangla150,2,0,0
bangla151,2,0,0
bangla152,2,0,0
bangla153,2,0,0
bangla154,2,0,0
bangla155,2,0,0
bangla156,2,0,0
bangla157,2,0,0
bangla158,2,0,0
bangla159,2,0,0
bangla160,2,0,0
bangla161,2,0,0
bangla162,2,0,0
bangla163,2,0,0
bangla164,2,0,0
bangla165,2,0,0
bangla166,2,0,0
bangla167,2,0,0
bangla168,2,0,0
bangla169,2,0,0
bangla170,2,0,0
bangla171,2,0,0
bangla172,2,0,0
bangla173,2,0,0
bangla174,2,0,0
bangla175,2,0,0
bangla176,2,0,0
bangla177,2,0,0
bangla178,2,0,0
bangla179,2,0,0
bangla180,2,0,0
bangla181,2,0,0
bangla182,2,0,0
bangla183,2,0,0
bangla184,2,0,0
bangla185,2,0,0
bangla186,2,0,0
bangla187,2,0,0
bangla188,2,0,0
bangla189,2,0,0
bangla190,2,0,0
bangla191,2,0,0
bangla192,2,0,0
bangla193,2,0,0
bangla194,2,0,0
bangla195,2,0,0
bangla196,2,0,0
bangla197,2,0,0
bangla198,2,0,0
bangla199,2,0,0
bangla200,2,0,0
bangla201,2,0,0
bangla202,2,0,0
bangla203,2,0,0
bangla204,2,0,0
bangla205,2,0,0
bangla206,2,0,0
bangla207,2,0,0
bangla208,2,0,0
bangla209,2,0,0
bangla210,2,0,0
bangla211,2,0,0
bangla212,2,0,0
bangla213,2,0,0
bangla214,2,0,0
bangla215,2,0,0
bangla216,2,0,0
bangla217,2,0,0
bangla218,2,0,0
bangla219,2,0,0
bangla220,2,0,0
bangla221,2,0,0
bangla222,2,0,0
bangla223,2,0,0
bangla224,2,0,0
bangla225,2,0,0
bangla226,2,0,0
bangla227,2,0,0
bangla228,2,0,0
bangla229,2,0,0
bangla230,2,0,0
bangla231,2,0,0
bangla232,2,0,0
bangla233,2,0,0
bangla234,2,0,0
bangla235,2,0,0
bangla236,2,0,0
bangla237,2,0,0
bangla238,2,0,0
bangla239,2,0,0
bangla240,2,0,0
bangla241,2,0,0
bangla242,2,0,0
bangla243,2,0,0
bangla244,2,0,0
bangla245,2,0,0
bangla246,2,0,0
bangla247,2,0,0
bangla248,2,0,0
bangla249,2,0,0
bangla250,2,0,0
bangla251,2,0,0
bangla252,2,0,0
bangla253,2,0,0
bangla254,2,0,0
bangla255,2,0,0
bangla256,2,0,0
bangla257,2,0,0
bangla258,2,0,0
bangla259,2,0,0
bangla260,2,0,0
bangla261,2,0,0
bangla262,2,0,0
bangla263,2,0,0
bangla264,2,0,0
bangla265,2,0,0
bangla266,2,0,0
bangla267,2,0,0
bangla268,2,0,0
bangla269,2,0,0
bangla270,2,0,0
bangla271,2,0,0
bangla272,2,0,0
bangla273,2,0,0
bangla274,2,0,0
bangla275,2,0,0
bangla276,2,0,0
bangla277,2,0,0
bangla278,2,0,0
bangla279,2,0,0
bangla280,2,0,0
bangla281,2,0,0
bangla282,2,0,0
bangla283,2,0,0
bangla284,2,0,0
bangla285,2,0,0
bangla286,2,0,0
bangla287,2,0,0
bangla288,2,0,0
bangla289,2,0,0
bangla290,2,0,0
bangla291,2,0,0
bangla292,2,0,0
bangla293,2,0,0
bangla294,2,0,0
bangla295,2,0,0
bangla296,2,0,0
bangla297,2,0,0
bangla298,2,0,0
bangla299,2,0,0
bangla300,2,0,0
bangla301,2,0,0
bangla302,2,0,0
bangla303,2,0,0
bangla304,2,0,0
bangla305,2,0,0
bangla306,2,0,0
bangla307,2,0,0
bangla308,2,0,0
bangla309,2,0,0
bangla310,2,0,0
bangla311,2,0,0
bangla312,2,0,0
bangla313,2,0,0
bangla314,2,0,0
bangla315,2,0,0
bangla316,2,0,0
bangla317,2,0,0
bangla318,2,0,0
bangla319,2,0,0
bangla320,2,0,0
bangla321,2,0,0
bangla322,2,0,0
bangla323,2,0,0
bangla324,2,0,0
bangla325,2,0,0
bangla326,2,0,0
bangla327,2,0,0
bangla328,2,0,0
bangla329,2,0,0
bangla330,2,0,0
bangla331,2,0,0
bangla332,2,0,0
bangla333,2,0,0
bangla334,2,0,0
bangla335,2,0,0
bangla336,2,0,0
bangla337,2,0,0
bangla338,2,0,0
bangla339,2,0,0
bangla340,2,0,0
bangla341,2,0,0
bangla342,2,0,0
bangla343,2,0,0
bangla344,2,0,0
bangla345,2,0,0
bangla346,2,0,0
bangla347,2,0,0
bangla348,2,0,0
bangla349,2,0,0
bangla350,2,0,0
bangla351,2,0,0
bangla352,2,0,0
bangla353,2,0,0
bangla354,2,0,0
bangla355,2,0,0
bangla356,2,0,0
bangla357,2,0,0
bangla358,2,0,0
bangla359,2,0,0
bangla360,2,0,0
bangla361,2,0,0
bangla362,2,0,0
bangla363,2,0,0
bangla364,2,0,0
bangla365,2,0,0
bangla366,2,0,0
bangla367,2,0,0
bangla368,2,0,0
bangla369,2,0,0
bangla370,2,0,0
bangla371,2,0,0
bangla372,2,0,0
bangla373,2,0,0
bangla374,2,0,0
bangla375,2,0,0
bangla376,2,0,0
bangla377,2,0,0
bangla378,2,0,0
bangla379,2,0,0
bangla380,2,0,0
bangla381,2,0,0
bangla382,2,0,0
bangla383,2,0,0
bangla384,2,0,0
bangla385,2,0,0
bangla386,2,0,0
bangla387,2,0,0
bangla388,2,0,0
bangla389,2,0,0
bangla390,2,0,0
bangla391,2,0,0
bangla392,2,0,0
bangla393,2,0,0
bangla394,2,0,0
bangla395,2,0,0
bangla396,2,0,0
bangla397,2,0,0
bangla398,2,0,0
bangla399,2,0,0
bangla400,2,0,0
bangla401,2,0,0
bangla402,2,0,0
bangla403,2,0,0
bangla404,2,0,0
bangla405,2,0,0
bangla406,2,0,0
bangla407,2,0,0
bangla408,2,0,0
bangla409,2,0,0
bangla410,2,0,0
bangla411,2,0,0
bangla412,2,0,0
bangla413,2,0,0
bangla414,2,0,0
bangla415,2,0,0
bangla416,2,0,0
bangla417,2,0,0
bangla418,2,0,0
bangla419,2,0,0
bangla420,2,0,0
bangla421,2,0,0
bangla422,2,0,0
bangla423,2,0,0
bangla424,2,0,0
bangla425,2,0,0
bangla426,2,0,0
bangla427,2,0,0
bangla428,2,0,0
bangla429,2,0,0
bangla430,2,0,0
bangla431,2,0,0
bangla432,2,0,0
bangla433,2,0,0
bangla434,2,0,0
bangla435,2,0,0
bangla436,2,0,0
bangla437,2,0,0
bangla438,2,0,0
bangla439,2,0,0
bangla440,2,0,0
bangla441,2,0,0
bangla442,2,0,0
bangla443,2,0,0
bangla444,2,0,0
bangla445,2,0,0
bangla446,2,0,0
bangla447,2,0,0
bangla448,2,0,0
bangla449,2,0,0
bangla450,2,0,0
bangla451,2,0,0
bangla452,2,0,0
bangla453,2,0,0
bangla454,2,0,0
bangla455,2,0,0
bangla456,2,0,0
bangla457,2,0,0
bangla458,2,0,0
bangla459,2,0,0
bangla460,2,0,0
bangla461,2,0,0
bangla462,2,0,0
bangla463,2,0,0
bangla464,2,0,0
bangla465,2,0,0
bangla466,2,0,0
bangla467,2,0,0
bangla468,2,0,0
bangla469,2,0,0
bangla470,2,0,0
bangla471,2,0,0
bangla472,2,0,0
bangla473,2,0,0
bangla474,2,0,0
bangla475,2,0,0
bangla476,2,0,0
bangla477,2,0,0
bangla478,2,0,0
bangla479,2,0,0
bangla480,2,0,0
bangla481,2,0,0
bangla482,2,0,0
bangla483,2,0,0
bangla484,2,0,0
bangla485,2,0,0
bangla486,2,0,0
bangla487,2,0,0
bangla488,2,0,0
bangla489,2,0,0
bangla490,2,0,0
bangla491,2,0,0
bangla492,2,0,0
bangla493,2,0,0
bangla494,2,0,0
bangla495,2,0,0
bangla496,2,0,0
bangla497,2,0,0
bangla498,2,0,0
bangla499,2,0,0
bangla500,2,0,0
bangla501,2,0,0
bangla502,2,0,0
bangla503,2,0,0
bangla504,2,0,0
bangla505,2,0,0
bangla506,2,0,0
bangla507,2,0,0
bangla508,2,0,0
bangla509,2,0,0
bangla510,2,0,0
bangla511,2,0,0
bangla512,2,0,0
bangla513,2,0,0
bangla514,2,0,0
bangla515,2,0,0
bangla516,2,0,0
bangla517,2,0,0
bangla518,2,0,0
bangla519,2,0,0
bangla520,2,0,0
bangla521,2,0,0
bangla522,2,0,0
bangla523,2,0,0
bangla524,2,0,0
bangla525,2,0,0
bangla526,2,0,0
bangla527,2,0,0
bangla528,2,0,0
bangla529,2,0,0
bangla530,2,0,0
bangla531,2,0,0
bangla532,2,0,0
bangla533,2,0,0
bangla534,2,0,0
bangla535,2,0,0
bangla536,2,0,0
bangla537,2,0,0
bangla538,2,0,0
bangla539,2,0,0
bangla540,2,0,0
bangla541,2,0,0
bangla542,2,0,0
bangla543,2,0,0
bangla544,2,0,0
bangla545,2,0,0
bangla546,2,0,0
bangla547,2,0,0
bangla548,2,0,0
bangla549,2,0,0
bangla550,2,0,0
bangla551,2,0,0
bangla552,2,0,0
bangla553,2,0,0
bangla554,2,0,0
bangla555,2,0,0
bangla556,2,0,0
bangla557,2,0,0
bangla558,2,0,0
bangla559,2,0,0
bangla560,2,0,0
bangla561,2,0,0
bangla562,2,0,0
bangla563,2,0,0
bangla564,2,0,0
bangla565,2,0,0
bangla566,2,0,0
bangla567,2,0,0
bangla568,2,0,0
bangla569,2,0,0
bangla570,2,0,0
bangla571,2,0,0
bangla572,2,0,0
bangla573,2,0,0
bangla574,2,0,0
bangla575,2,0,0
bangla576,2,0,0
bangla577,2,0,0
bangla578,2,0,0
bangla579,2,0,0
bangla580,2,0,0
bangla581,2,0,0
bangla582,2,0,0
bangla583,2,0,0
bangla584,2,0,0
bangla585,2,0,0
bangla586,2,0,0
bangla587,2,0,0
bangla588,2,0,0
bangla589,2,0,0
bangla590,2,0,0
bangla591,2,0,0
bangla592,2,0,0
bangla593,2,0,0
bangla594,2,0,0
bangla595,2,0,0
bangla596,2,0,0
bangla597,2,0,0
bangla598,2,0,0
bangla599,2,0,0
bangla600,2,0,0
bangla601,2,0,0
bangla602,2,0,0
bangla603,2,0,0
bangla604,2,0,0
bangla605,2,0,0
bangla606,2,0,0
bangla607,2,0,0
bangla608,2,0,0
bangla609,2,0,0
bangla610,2,0,0
bangla611,2,0,0
bangla612,2,0,0
bangla613,2,0,0
bangla614,2,0,0
bangla615,2,0,0
bangla616,2,0,0
bangla617,2,0,0
bangla618,2,0,0
bangla619,2,0,0
bangla620,2,0,0
bangla621,2,0,0
bangla622,2,0,0
bangla623,2,0,0
bangla624,2,0,0
bangla625,2,0,0
bangla626,2,0,0
bangla627,2,0,0
bangla628,2,0,0
bangla629,2,0,0
bangla630,2,0,0
bangla631,2,0,0
bangla632,2,0,0
bangla633,2,0,0
bangla634,2,0,0
bangla635,2,0,0
bangla636,2,0,0
bangla637,2,0,0
bangla638,2,0,0
bangla639,2,0,0
bangla640,2,0,0
bangla641,2,0,0
bangla642,2,0,0
bangla643,2,0,0
bangla644,2,0,0
bangla645,2,0,0
bangla646,2,0,0
bangla647,2,0,0
bangla648,2,0,0
bangla649,2,0,0
bangla650,2,0,0
bangla651,2,0,0
bangla652,2,0,0
bangla653,2,0,0
bangla654,2,0,0
bangla655,2,0,0
bangla656,2,0,0
bangla657,2,0,0
bangla658,2,0,0
bangla659,2,0,0
bangla660,2,0,0
bangla661,2,0,0
bangla662,2,0,0
bangla663,2,0,0
bangla664,2,0,0
bangla665,2,0,0
bangla666,2,0,0
bangla667,2,0,0
bangla668,2,0,0
bangla669,2,0,0
bangla670,2,0,0
bangla671,2,0,0
bangla672,2,0,0
bangla673,2,0,0
bangla674,2,0,0
bangla675,2,0,0
bangla676,2,0,0
bangla677,2,0,0
bangla678,2,0,0
bangla679,2,0,0
bangla680,2,0,0
bangla681,2,0,0
bangla682,2,0,0
bangla683,2,0,0
bangla684,2,0,0
bangla685,2,0,0
bangla686,2,0,0
bangla687,2,0,0
bangla688,2,0,0
bangla689,2,0,0
bangla690,2,0,0
bangla691,2,0,0
bangla692,2,0,0
bangla693,2,0,0
bangla694,2,0,0
bangla695,2,0,0
bangla696,2,0,0
bangla697,2,0,0
bangla698,2,0,0
bangla699,2,0,0
bangla700,2,0,0
bangla701,2,0,0
bangla702,2,0,0
bangla703,2,0,0
bangla704,2,0,0
bangla705,2,0,0
bangla706,2,0,0
bangla707,2,0,0
bangla708,2,0,0
bangla709,2,0,0
bangla710,2,0,0
bangla711,2,0,0
bangla712,2,0,0
bangla713,2,0,0
bangla714,2,0,0
bangla715,2,0,0
bangla716,2,0,0
bangla717,2,0,0
bangla718,2,0,0
bangla719,2,0,0
bangla720,2,0,0
bangla721,2,0,0
bangla722,2,0,0
bangla723,2,0,0
bangla724,2,0,0
bangla725,2,0,0
bangla726,2,0,0
bangla727,2,0,0
bangla728,2,0,0
bangla729,2,0,0
bangla730,2,0,0
bangla731,2,0,0
bangla732,2,0,0
bangla733,2,0,0
bangla734,2,0,0
bangla735,2,0,0
bangla736,2,0,0
bangla737,2,0,0
bangla738,2,0,0
bangla739,2,0,0
bangla740,2,0,0
bangla741,2,0,0
bangla742,2,0,0
bangla743,2,0,0
bangla744,2,0,0
bangla745,2,0,0
bangla746,2,0,0
bangla747,2,0,0
bangla748,2,0,0
bangla749,2,0,0
bangla750,2,0,0
bangla751,2,0,0
bangla752,2,0,0
bangla753,2,0,0
bangla754,2,0,0
bangla755,2,0,0
bangla756,2,0,0
bangla757,2,0,0
bangla758,2,0,0
bangla759,2,0,0
bangla760,2,0,0
bangla761,2,0,0
bangla762,2,0,0
bangla763,2,0,0
bangla764,2,0,0
bangla765,2,0,0
bangla766,2,0,0
bangla767,2,0,0
bangla768,2,0,0
bangla769,2,0,0
bangla770,2,0,0
bangla771,2,0,0
bangla772,2,0,0
bangla773,2,0,0
bangla774,2,0,0
bangla775,2,0,0
bangla776,2,0,0
bangla777,2,0,0
bangla778,2,0,0
bangla779,2,0,0
bangla780,2,0,0
bangla781,2,0,0
bangla782,2,0,0
bangla783,2,0,0
bangla784,2,0,0
bangla785,2,0,0
bangla786,2,0,0
bangla787,2,0,0
bangla788,2,0,0
bangla789,2,0,0
bangla790,2,0,0
bangla791,2,0,0
bangla792,2,0,0
