epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
60.499801,0.000411,3.209295,1.116030,0.595977,0.381258,0.972607,0.960236,0.986877,0.983079,0:12:46
60.999801,0.000411,3.148141,1.093801,0.585523,0.375016,0.973144,0.961453,0.987122,0.982548,0:25:06
61.499801,0.000398,3.207888,1.115180,0.595259,0.382268,0.971588,0.958686,0.986684,0.982295,0:37:26
61.999801,0.000398,3.197752,1.112218,0.592671,0.380644,0.972824,0.961369,0.987062,0.981494,0:49:42
62.499801,0.000384,3.179015,1.106212,0.589866,0.376725,0.972285,0.959342,0.987213,0.983243,1:01:58
62.999801,0.000384,3.177352,1.104403,0.590859,0.377687,0.972219,0.960560,0.986785,0.980971,1:14:10
63.499801,0.000371,3.198974,1.112523,0.594941,0.378986,0.972697,0.960613,0.987087,0.982478,1:26:20
63.999801,0.000371,3.115300,1.080502,0.582324,0.371971,0.973369,0.961600,0.988163,0.982115,1:38:31
64.499801,0.000358,3.164465,1.099774,0.587027,0.377890,0.972794,0.960713,0.987201,0.982551,1:50:55
64.999801,0.000358,3.202584,1.113557,0.593488,0.381982,0.973298,0.960487,0.987331,0.984887,2:03:13
65.499801,0.000346,3.148501,1.091541,0.588292,0.377128,0.972559,0.959675,0.987015,0.983873,2:15:34
65.999801,0.000346,3.189443,1.108842,0.591119,0.380639,0.972594,0.961445,0.986825,0.980664,2:27:49
66.499801,0.000333,3.143841,1.092016,0.583565,0.376245,0.973838,0.962239,0.987259,0.983617,2:40:17
66.999801,0.000333,3.162150,1.097328,0.589097,0.378396,0.972370,0.959898,0.986774,0.982910,2:52:40
67.499801,0.000321,3.121271,1.083916,0.581447,0.371992,0.972882,0.961460,0.986928,0.981680,3:05:04
67.999801,0.000321,3.108550,1.079315,0.579534,0.370386,0.972088,0.961219,0.986109,0.979805,3:17:26
68.499801,0.000309,3.146897,1.093396,0.586369,0.373735,0.972210,0.959798,0.987363,0.981883,3:29:57
68.999801,0.000309,3.079989,1.066185,0.575292,0.372328,0.972545,0.960242,0.987036,0.982660,3:42:24
69.499801,0.000297,3.112251,1.077466,0.584150,0.373169,0.972896,0.959994,0.987270,0.984326,3:54:39
69.999801,0.000297,3.137913,1.089223,0.584654,0.374814,0.973289,0.962071,0.987156,0.981858,4:06:45
70.499801,0.000285,3.122768,1.085255,0.579708,0.372550,0.973239,0.961222,0.986906,0.983608,4:18:51
70.999801,0.000285,3.105027,1.077712,0.579609,0.369994,0.972769,0.961761,0.986861,0.980693,4:30:55
71.499801,0.000274,3.102452,1.073732,0.583270,0.371718,0.972880,0.961160,0.986824,0.982377,4:43:14
71.999801,0.000274,3.109214,1.077350,0.580369,0.374144,0.973571,0.961706,0.987089,0.983782,4:55:39
72.499801,0.000263,3.063916,1.062256,0.572244,0.367160,0.973059,0.960797,0.987667,0.982977,5:08:05
72.999801,0.000263,3.104021,1.077025,0.579355,0.370616,0.973021,0.962076,0.986949,0.980982,5:20:26
73.499801,0.000252,3.074365,1.064935,0.575685,0.368810,0.973610,0.962706,0.986956,0.982074,5:32:47
73.999801,0.000252,3.119398,1.082224,0.581248,0.373703,0.973509,0.961400,0.987853,0.983383,5:45:05
74.499801,0.000242,3.118515,1.082264,0.581835,0.372153,0.972604,0.960171,0.988299,0.981773,5:57:19
74.999801,0.000242,3.046713,1.056005,0.568540,0.366162,0.974075,0.962929,0.987408,0.983032,6:09:40
75.499801,0.000232,3.117451,1.080175,0.581092,0.376009,0.972499,0.960121,0.988070,0.981684,6:22:05
75.999801,0.000232,3.100370,1.075724,0.577946,0.370976,0.973405,0.960797,0.987472,0.984552,6:34:23
76.499801,0.000222,3.057482,1.058138,0.572196,0.369010,0.973083,0.961248,0.986841,0.982995,6:46:43
76.999801,0.000222,3.081485,1.067488,0.577652,0.368858,0.973118,0.961822,0.987373,0.981457,6:59:01
77.499801,0.000212,3.056054,1.058147,0.572838,0.366923,0.973290,0.961149,0.987105,0.983757,7:11:24
77.999801,0.000212,3.027288,1.045972,0.569799,0.365545,0.972935,0.960694,0.987933,0.982419,7:23:47
78.499801,0.000203,3.026370,1.047759,0.567360,0.363491,0.973944,0.962165,0.987320,0.984126,7:36:14
78.999801,0.000203,3.065248,1.061745,0.571268,0.370490,0.973936,0.961524,0.987577,0.985118,7:48:45
79.499801,0.000194,3.095819,1.072668,0.580477,0.370006,0.973097,0.960449,0.987687,0.983804,8:01:18
79.999801,0.000194,3.062896,1.061169,0.573810,0.366748,0.973538,0.960581,0.988107,0.984884,8:13:45
80.499801,0.000186,3.061978,1.060666,0.572750,0.367895,0.974084,0.961780,0.987220,0.985554,8:26:20
80.999801,0.000186,3.015554,1.042092,0.568294,0.363077,0.972730,0.960957,0.986512,0.982495,8:39:00
81.499801,0.000178,2.987848,1.032344,0.560702,0.362458,0.972526,0.960603,0.986590,0.982310,8:51:23
81.999801,0.000178,3.032705,1.048534,0.568532,0.367105,0.973105,0.960632,0.986650,0.984504,9:03:47
82.499801,0.000170,3.051680,1.055494,0.571719,0.368973,0.973515,0.961662,0.987184,0.983552,9:16:12
82.999801,0.000170,3.059779,1.059517,0.571462,0.369284,0.973721,0.961671,0.987221,0.984321,9:28:34
83.499801,0.000163,3.056211,1.058405,0.572563,0.366839,0.973363,0.961455,0.987564,0.982980,9:40:59
83.999801,0.000163,3.042204,1.052242,0.569730,0.367990,0.973141,0.960897,0.987820,0.982949,9:53:23
