epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
0.499801,0.010000,13.337503,4.962325,1.677634,1.735219,0.243845,0.030275,0.531713,0.383115,0:09:33
0.999801,0.010000,12.931025,4.809769,1.614106,1.697381,0.179248,0.028127,0.282778,0.377960,0:18:53
1.499801,0.009999,12.133351,4.544628,1.490243,1.553852,0.354932,0.090520,0.649828,0.588861,0:28:10
1.999801,0.009999,11.216090,4.186904,1.351646,1.490636,0.405160,0.158799,0.749746,0.553297,0:37:29
2.499801,0.009998,10.804626,4.046052,1.285156,1.427365,0.428146,0.168150,0.768239,0.608046,0:46:50
2.999801,0.009998,10.033376,3.794999,1.160904,1.282473,0.473229,0.236320,0.862343,0.557933,0:56:11
3.499801,0.009995,9.555302,3.578212,1.103451,1.295428,0.481672,0.311798,0.854965,0.448128,1:05:31
3.999801,0.009995,9.254571,3.483182,1.062029,1.226178,0.569782,0.311787,0.871974,0.783579,1:14:51
4.499801,0.009990,9.148996,3.403105,1.032119,1.310668,0.521565,0.326133,0.874188,0.559808,1:24:12
4.999801,0.009990,8.579083,3.221074,0.955230,1.181704,0.598553,0.438983,0.870116,0.646128,1:33:30
5.499801,0.009985,8.325165,3.125787,0.961168,1.112423,0.615382,0.438668,0.933565,0.650628,1:42:45
5.999801,0.009985,8.067779,3.015715,0.909979,1.126369,0.610937,0.464211,0.854090,0.661236,1:52:02
6.499801,0.009978,7.967879,2.986953,0.898953,1.095019,0.671179,0.506567,0.921903,0.749677,2:01:17
6.999801,0.009978,7.675457,2.862572,0.879027,1.071286,0.646276,0.543827,0.937741,0.559711,2:10:31
7.499801,0.009970,7.824509,2.841016,0.902844,1.239633,0.698726,0.544424,0.935049,0.771008,2:19:47
7.999801,0.009970,7.373008,2.761484,0.850968,0.999071,0.689589,0.474390,0.912223,0.897351,2:29:11
