epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
118.499801,0.003669,1.864895,0.678045,0.305236,0.203570,0.966751,0.953908,0.984031,0.975156,0:07:44
118.999801,0.003669,1.849907,0.673004,0.303256,0.200644,0.969148,0.953485,0.986817,0.982807,0:14:48
119.499801,0.003595,1.815251,0.660898,0.297119,0.196337,0.970143,0.957039,0.986714,0.979782,0:21:49
119.999801,0.003595,1.791125,0.651121,0.294903,0.193980,0.970801,0.958494,0.985763,0.980451,0:28:50
120.499801,0.003520,1.809821,0.657277,0.298095,0.197173,0.969988,0.956630,0.986670,0.980024,0:35:46
120.999801,0.003520,1.852781,0.672518,0.306678,0.201068,0.968922,0.954319,0.985404,0.981649,0:42:36
121.499801,0.003447,1.813179,0.660077,0.297206,0.195818,0.969714,0.955340,0.985266,0.982911,0:49:24
121.999801,0.003447,1.822951,0.662619,0.298164,0.199549,0.971101,0.957456,0.986555,0.982939,0:56:14
122.499801,0.003373,1.809188,0.657618,0.297327,0.196626,0.969909,0.954684,0.986506,0.983764,1:03:10
122.999801,0.003373,1.814549,0.658741,0.299849,0.197217,0.969901,0.956261,0.985832,0.981251,1:10:04
123.499801,0.003300,1.825177,0.662770,0.300267,0.199371,0.969219,0.954178,0.986367,0.982154,1:17:00
123.999801,0.003300,1.825626,0.662048,0.301547,0.199983,0.970998,0.958189,0.985963,0.981653,1:24:03
124.499801,0.003228,1.794073,0.649120,0.298640,0.197192,0.970078,0.955095,0.987103,0.983021,1:31:08
124.999801,0.003228,1.783861,0.645086,0.296364,0.197325,0.967845,0.951864,0.984974,0.982680,1:38:19
125.499801,0.003156,1.776867,0.644729,0.292468,0.194941,0.970646,0.956487,0.986639,0.982973,1:45:29
125.999801,0.003156,1.818831,0.660454,0.298676,0.199246,0.967273,0.951573,0.983328,0.982616,1:52:39
126.499801,0.003084,1.803157,0.655218,0.296992,0.195730,0.970571,0.955660,0.987138,0.983826,1:59:50
126.999801,0.003084,1.747433,0.632860,0.289150,0.192564,0.969630,0.954457,0.986430,0.983176,2:07:01
127.499801,0.003013,1.754090,0.636055,0.291190,0.190790,0.967320,0.949656,0.987018,0.982951,2:14:11
127.999801,0.003013,1.750263,0.634416,0.289096,0.192335,0.969333,0.954107,0.987079,0.982039,2:21:22
