epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
0.499801,0.000300,0.278256,0.102099,0.036801,0.037257,0.969737,0.957375,0.984446,0.979752,0:09:22
0.999801,0.000300,0.271505,0.098788,0.036259,0.037670,0.970818,0.958577,0.985625,0.980493,0:18:29
1.499801,0.000300,0.270746,0.100266,0.035024,0.035190,0.971928,0.959648,0.986090,0.982325,0:27:33
1.999801,0.000300,0.274963,0.099803,0.037065,0.038291,0.970306,0.957993,0.984933,0.980305,0:36:40
2.499801,0.000300,0.268382,0.098743,0.035052,0.035844,0.970953,0.958302,0.985736,0.981474,0:45:44
2.999801,0.000300,0.268916,0.097700,0.037171,0.036344,0.971214,0.959024,0.984720,0.982089,0:54:49
3.499801,0.000300,0.267323,0.098644,0.034526,0.035509,0.971535,0.958996,0.985763,0.982386,1:03:52
3.999801,0.000300,0.274008,0.099988,0.036702,0.037331,0.971518,0.959863,0.985908,0.980439,1:12:56
4.499801,0.000300,0.265745,0.098050,0.035212,0.034433,0.970161,0.957845,0.985328,0.979627,1:21:59
4.999801,0.000300,0.261732,0.096836,0.033664,0.034395,0.971032,0.959210,0.985832,0.979876,1:31:02
5.499801,0.000300,0.264072,0.097486,0.034152,0.034949,0.952883,0.940874,0.966063,0.963722,1:40:04
5.999801,0.000300,0.269427,0.098831,0.036384,0.035380,0.971196,0.958383,0.985578,0.982442,1:49:06
6.499801,0.000300,0.262889,0.097573,0.034465,0.033278,0.971308,0.958597,0.985647,0.982389,1:58:06
6.999801,0.000300,0.274548,0.100662,0.036965,0.036259,0.970759,0.958501,0.985259,0.980775,2:07:05
7.499801,0.000300,0.266436,0.097747,0.036092,0.034850,0.970497,0.957948,0.985629,0.980463,2:16:09
7.999801,0.000300,0.254391,0.092376,0.034909,0.034729,0.970957,0.958218,0.985333,0.982059,2:25:09
8.499801,0.000300,0.264548,0.096833,0.036197,0.034686,0.970809,0.958461,0.985464,0.980851,2:34:08
8.999801,0.000300,0.259733,0.094853,0.034521,0.035507,0.971437,0.959434,0.985560,0.981319,2:43:06
9.499801,0.000300,0.259595,0.095564,0.035464,0.033003,0.971269,0.958498,0.985378,0.982702,2:52:04
9.999801,0.000300,0.265513,0.097163,0.033906,0.037282,0.960599,0.947754,0.974520,0.972370,3:01:02
