iter,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
0.499801,0.008250,1.475632,0.450745,0.450745,0.123396,0.943668,0.923535,0.968123,0.959477,0:06:18
0.999801,0.008250,1.472618,0.450265,0.450265,0.121823,0.932425,0.915342,0.966237,0.932777,0:12:40
1.499801,0.008089,1.416204,0.432804,0.432804,0.117793,0.949128,0.934728,0.973983,0.953074,0:19:02
1.999801,0.008089,1.399529,0.427260,0.427260,0.117749,0.875019,0.861200,0.837619,0.940055,0:25:24
2.499801,0.007924,1.410709,0.431838,0.431838,0.115195,0.953483,0.932252,0.977698,0.971733,0:31:44
2.999801,0.007924,1.384303,0.422538,0.422538,0.116691,0.950936,0.930759,0.974725,0.967501,0:38:03
3.499801,0.007754,1.381528,0.421545,0.421545,0.116894,0.950934,0.931560,0.972371,0.968247,0:44:23
3.999801,0.007754,1.361115,0.411154,0.411154,0.127653,0.952349,0.932080,0.976408,0.968828,0:50:43
4.499801,0.007582,1.336577,0.406588,0.406588,0.116813,0.955348,0.937516,0.975173,0.971187,0:57:02
4.999801,0.007582,1.311074,0.399369,0.399369,0.112966,0.950967,0.935845,0.978168,0.954009,1:03:22
5.499801,0.007406,1.282525,0.391154,0.391154,0.109063,0.917853,0.891993,0.929554,0.957872,1:09:41
5.999801,0.007406,1.299265,0.397745,0.397745,0.106029,0.953839,0.938119,0.978568,0.960552,1:15:59
6.499801,0.007228,1.245033,0.379961,0.379961,0.105150,0.955338,0.936963,0.976320,0.971107,1:22:16
6.999801,0.007228,1.239341,0.376833,0.376833,0.108843,0.957051,0.938311,0.978248,0.973333,1:28:36
7.499801,0.007048,1.190731,0.363039,0.363039,0.101615,0.957727,0.938266,0.979234,0.975143,1:34:56
7.999801,0.007048,1.179445,0.359093,0.359093,0.102165,0.955596,0.938749,0.974863,0.970025,1:41:12
8.499801,0.006866,1.209447,0.368807,0.368807,0.103026,0.955391,0.936699,0.979352,0.968815,1:47:29
8.999801,0.006866,1.215329,0.369680,0.369680,0.106289,0.946459,0.924185,0.973010,0.964457,1:53:48
9.499801,0.006683,1.174400,0.356569,0.356569,0.104694,0.945849,0.928432,0.965683,0.960847,2:00:05
9.999801,0.006683,1.139812,0.347640,0.347640,0.096891,0.958258,0.939504,0.976994,0.977030,2:06:22
