epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
0.499801,0.003000,0.473227,0.179251,0.058455,0.056270,0.967447,0.953609,0.984793,0.977779,0:06:44
0.999801,0.003000,0.498523,0.187741,0.059238,0.063802,0.946103,0.933145,0.961244,0.956877,0:13:25
1.499801,0.003000,0.469020,0.175281,0.057842,0.060615,0.966719,0.953356,0.983283,0.976879,0:20:04
1.999801,0.003000,0.490024,0.184066,0.059482,0.062409,0.961742,0.946377,0.979761,0.974455,0:26:40
2.499801,0.003000,0.482639,0.180189,0.057947,0.064313,0.967789,0.953964,0.983291,0.979935,0:33:17
2.999801,0.003000,0.477613,0.181473,0.058158,0.056509,0.963805,0.949471,0.979520,0.976759,0:39:54
3.499801,0.003000,0.471919,0.176615,0.057642,0.061047,0.967056,0.953208,0.982978,0.978829,0:46:27
3.999801,0.003000,0.492857,0.185126,0.057717,0.064889,0.955576,0.940533,0.968462,0.972775,0:53:02
4.499801,0.003000,0.456720,0.172549,0.054719,0.056902,0.967069,0.952689,0.984217,0.978684,0:59:44
4.999801,0.003000,0.477136,0.178912,0.058778,0.060534,0.954307,0.939640,0.971386,0.966562,1:06:30
5.499801,0.003000,0.466979,0.177153,0.056643,0.056031,0.949772,0.932512,0.969059,0.965006,1:13:17
5.999801,0.003000,0.472331,0.177715,0.057706,0.059195,0.965765,0.954423,0.981270,0.972943,1:20:04
6.499801,0.003000,0.455346,0.171288,0.055901,0.056868,0.969385,0.955899,0.983400,0.982342,1:26:54
6.999801,0.003000,0.455441,0.171370,0.055655,0.057047,0.965664,0.951581,0.982102,0.977390,1:33:42
7.499801,0.003000,0.479127,0.180795,0.056940,0.060597,0.967171,0.954086,0.984355,0.976158,1:40:19
7.999801,0.003000,0.450276,0.169881,0.053624,0.056890,0.967753,0.954803,0.982481,0.978926,1:46:55
8.499801,0.003000,0.453448,0.170380,0.055010,0.057679,0.965806,0.952186,0.981905,0.976948,1:53:34
8.999801,0.003000,0.463103,0.174274,0.058084,0.056472,0.966815,0.951965,0.983814,0.979516,2:00:19
9.499801,0.003000,0.453229,0.171176,0.055080,0.055796,0.966238,0.951668,0.982128,0.979489,2:07:04
9.999801,0.003000,0.464579,0.175335,0.057716,0.056192,0.936632,0.922809,0.950907,0.950001,2:13:51
10.499801,0.003000,0.442984,0.167488,0.053538,0.054471,0.966566,0.952420,0.983651,0.977775,2:20:38
10.999801,0.003000,0.461542,0.173050,0.057603,0.057839,0.947777,0.928937,0.968459,0.964778,2:27:17
11.499801,0.003000,0.462899,0.173634,0.056146,0.059486,0.915632,0.930268,0.846974,0.955017,2:33:55
11.999801,0.003000,0.460569,0.172367,0.059820,0.056015,0.952661,0.939033,0.960746,0.971831,2:40:33
12.499801,0.003000,0.465493,0.170338,0.065417,0.059399,0.966580,0.952306,0.982663,0.979042,2:47:11
12.999801,0.003000,0.430633,0.162000,0.053851,0.052783,0.966901,0.952466,0.984362,0.978311,2:53:50
13.499801,0.003000,0.438226,0.166240,0.053888,0.051858,0.967963,0.954035,0.983424,0.980359,3:00:26
13.999801,0.003000,0.457079,0.171773,0.056121,0.057412,0.960758,0.945034,0.979215,0.973747,3:07:02
14.499801,0.003000,0.429651,0.161197,0.051988,0.055269,0.968297,0.955964,0.983610,0.977650,3:13:38
14.999801,0.003000,0.439796,0.166172,0.054460,0.052992,0.968098,0.954866,0.982723,0.979936,3:20:15
15.499801,0.003000,0.460586,0.172620,0.060891,0.054455,0.967214,0.953504,0.982982,0.978864,3:26:49
15.999801,0.003000,0.426984,0.159005,0.056169,0.052805,0.968383,0.954921,0.984135,0.979553,3:33:24
16.499801,0.003000,0.463754,0.170026,0.062804,0.060899,0.967359,0.953788,0.982409,0.979451,3:39:59
16.999801,0.003000,0.442582,0.165435,0.055763,0.055950,0.968193,0.955076,0.983623,0.978998,3:46:33
17.499801,0.003000,0.427508,0.160021,0.054483,0.052982,0.946044,0.932329,0.961342,0.958178,3:53:07
17.999801,0.003000,0.458025,0.172336,0.055526,0.057828,0.789315,0.830298,0.593033,0.903630,3:59:42
18.499801,0.003000,0.453819,0.170006,0.057255,0.056552,0.968302,0.955409,0.984485,0.977907,4:06:19
18.999801,0.003000,0.448947,0.168054,0.054574,0.058265,0.968112,0.955265,0.984692,0.977227,4:12:56
19.499801,0.003000,0.453512,0.168865,0.054938,0.060844,0.968070,0.955669,0.983093,0.977849,4:19:35
19.999801,0.003000,0.436934,0.162128,0.055333,0.057344,0.946321,0.931815,0.966702,0.954954,4:26:13
