epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
30.499801,0.000232,1.744318,0.596204,0.332803,0.219107,0.965639,0.954134,0.982665,0.971622,0:11:48
30.999801,0.000232,1.743895,0.596697,0.333126,0.217377,0.965850,0.953580,0.983069,0.973171,0:23:37
31.499801,0.000208,1.694937,0.577177,0.325756,0.214827,0.966325,0.953987,0.983309,0.974016,0:35:26
31.999801,0.000208,1.719466,0.586051,0.328834,0.218530,0.966250,0.954241,0.982578,0.973941,0:47:15
32.499801,0.000186,1.699542,0.578977,0.327093,0.214495,0.965674,0.954180,0.982727,0.971607,0:59:04
32.999801,0.000186,1.787373,0.610460,0.343136,0.223316,0.966459,0.954482,0.982901,0.973971,1:10:53
33.499801,0.000166,1.739683,0.592592,0.334915,0.219585,0.966493,0.953932,0.983170,0.974936,1:22:43
33.999801,0.000166,1.741366,0.593195,0.334164,0.220812,0.966121,0.953804,0.982648,0.974228,1:34:35
34.499801,0.000149,1.722703,0.586893,0.333082,0.215835,0.966584,0.954641,0.983078,0.973974,1:46:25
34.999801,0.000149,1.672054,0.568331,0.324552,0.210840,0.966516,0.954702,0.982716,0.973946,1:58:17
35.499801,0.000134,1.727037,0.589223,0.331821,0.216770,0.966174,0.954799,0.982609,0.972489,2:10:09
35.999801,0.000134,1.711328,0.583477,0.327304,0.217070,0.966705,0.955358,0.982563,0.973544,2:22:00
