epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
12.499665,0.001000,2.701437,0.925321,0.460326,0.390470,0.963666,0.945136,0.984234,0.980158,0:17:21
12.999665,0.001000,2.835621,0.980556,0.484257,0.390251,0.966161,0.950465,0.982091,0.981625,0:34:29
13.499665,0.001000,2.686279,0.931710,0.457032,0.365827,0.966432,0.950988,0.982970,0.980781,0:52:07
13.999665,0.001000,2.704014,0.930958,0.459761,0.382337,0.964537,0.947043,0.981556,0.982507,1:09:44
14.499665,0.001000,2.599279,0.893323,0.443669,0.368963,0.968659,0.954083,0.983623,0.982847,1:26:54
14.999665,0.001000,2.652050,0.909844,0.457340,0.375021,0.965816,0.951645,0.982247,0.977728,1:43:48
15.499665,0.001000,2.631569,0.901586,0.455601,0.372795,0.968696,0.953512,0.983100,0.984663,2:00:34
15.999665,0.001000,2.704376,0.930580,0.462487,0.380730,0.967563,0.951054,0.983802,0.984343,2:17:15
16.499665,0.001000,2.677832,0.926535,0.456443,0.368320,0.966851,0.951495,0.984992,0.979424,2:34:03
16.999665,0.001000,2.551120,0.874528,0.432976,0.369089,0.969574,0.955383,0.985863,0.981668,2:50:44
17.499665,0.001000,2.654076,0.911802,0.454706,0.375766,0.970945,0.956894,0.985092,0.984901,3:07:28
17.999665,0.001000,2.615393,0.896629,0.449525,0.372609,0.969295,0.954227,0.983564,0.985163,3:24:10
18.499665,0.001000,2.625861,0.896050,0.449692,0.384069,0.970950,0.958990,0.982293,0.983525,3:40:56
18.999665,0.001000,2.481247,0.850376,0.427981,0.352514,0.969644,0.954988,0.985185,0.983414,3:57:34
19.499665,0.001000,2.517081,0.866531,0.430818,0.353201,0.972811,0.958455,0.988002,0.986331,4:14:13
19.999665,0.001000,2.565666,0.874609,0.447693,0.368755,0.970964,0.956487,0.985687,0.985195,4:30:52
20.499665,0.001000,2.501605,0.855242,0.430140,0.360982,0.969139,0.954477,0.983537,0.984063,4:47:31
20.999665,0.001000,2.520969,0.861989,0.439328,0.357663,0.971677,0.959903,0.984829,0.982072,5:04:10
21.499665,0.001000,2.561294,0.881602,0.439627,0.358464,0.971578,0.957486,0.987725,0.983617,5:20:51
21.999665,0.001000,2.640961,0.902731,0.455172,0.380327,0.970681,0.957030,0.985230,0.983433,5:37:32
22.499665,0.001000,2.578597,0.884010,0.444868,0.365708,0.971244,0.958209,0.986805,0.981752,5:54:14
22.999665,0.001000,2.490775,0.853583,0.437374,0.346234,0.969665,0.957068,0.984660,0.979863,6:10:54
23.499665,0.001000,2.477453,0.845952,0.429275,0.356274,0.970710,0.956418,0.984854,0.985148,6:27:33
23.999665,0.001000,2.503844,0.853983,0.432312,0.363567,0.973443,0.961515,0.985707,0.985036,6:44:13
24.499665,0.001000,2.518538,0.857840,0.441000,0.361857,0.971135,0.959421,0.986235,0.979461,7:00:53
24.999665,0.001000,2.485951,0.846021,0.425787,0.368123,0.970129,0.957325,0.984273,0.981594,7:17:32
25.499665,0.001000,2.407367,0.825151,0.416015,0.341051,0.972833,0.959897,0.985745,0.985794,7:34:09
25.999665,0.001000,2.530315,0.861522,0.434626,0.372645,0.971221,0.956991,0.986108,0.984792,7:50:49
26.499665,0.001000,2.458869,0.834988,0.431676,0.357218,0.973599,0.961382,0.984147,0.987488,8:07:29
26.999665,0.001000,2.323101,0.797274,0.395935,0.332618,0.972532,0.959205,0.986022,0.985694,8:24:04
27.499665,0.001000,2.316294,0.788566,0.403724,0.335437,0.971437,0.957414,0.985298,0.985621,8:40:43
27.999665,0.001000,2.353100,0.802282,0.409338,0.339197,0.970962,0.956783,0.985987,0.984293,8:57:25
28.499665,0.001000,2.328148,0.787972,0.406612,0.345592,0.972989,0.959983,0.986820,0.985171,9:14:13
28.999665,0.001000,2.317082,0.789514,0.409650,0.328404,0.972334,0.958606,0.985560,0.986563,9:30:56
29.499665,0.001000,2.357100,0.804671,0.413002,0.334756,0.972722,0.958330,0.987812,0.986416,9:47:42
29.999665,0.001000,2.417656,0.822683,0.416182,0.356107,0.974242,0.961517,0.987040,0.986894,10:04:26
30.499665,0.001000,2.333247,0.795921,0.402245,0.339161,0.973743,0.961220,0.986854,0.985676,10:21:09
30.999665,0.001000,2.325238,0.791345,0.412124,0.330424,0.973355,0.960656,0.986379,0.985728,10:37:55
31.499665,0.001000,2.323235,0.790737,0.407948,0.333813,0.973882,0.961922,0.987752,0.983934,10:54:43
31.999665,0.001000,2.356904,0.798485,0.417886,0.342048,0.972886,0.959761,0.986345,0.985676,11:11:28
32.499665,0.001000,2.328080,0.789518,0.406082,0.342961,0.971453,0.957767,0.984790,0.985489,11:28:16
32.999665,0.001000,2.382563,0.811586,0.416581,0.342809,0.971795,0.957487,0.986824,0.985383,11:45:02
33.499665,0.001000,2.416614,0.815454,0.423375,0.362331,0.975575,0.963458,0.989479,0.985903,12:01:55
33.999665,0.001000,2.390181,0.807730,0.418902,0.355819,0.972388,0.958066,0.987321,0.986098,12:18:40
34.499665,0.001000,2.252435,0.764936,0.400794,0.321769,0.974464,0.960965,0.988232,0.987694,12:35:27
34.999665,0.001000,2.348906,0.795565,0.410548,0.347228,0.972718,0.959205,0.986361,0.986099,12:52:21
35.499665,0.001000,2.272468,0.775481,0.392012,0.329493,0.966580,0.955209,0.980539,0.975366,13:09:19
35.999665,0.001000,2.410030,0.820036,0.428724,0.341235,0.972731,0.958226,0.987266,0.987205,13:26:15
36.499665,0.001000,2.218109,0.750131,0.388859,0.328987,0.970957,0.958324,0.988576,0.978603,13:43:10
36.999665,0.001000,2.378779,0.806356,0.418520,0.347546,0.975375,0.963943,0.986010,0.987605,14:00:12
37.499665,0.001000,2.246228,0.758526,0.396803,0.332373,0.975146,0.963359,0.988023,0.985844,14:17:09
37.999665,0.001000,2.230458,0.759093,0.387025,0.325248,0.974496,0.961653,0.986885,0.987794,14:33:57
38.499665,0.001000,2.294647,0.776510,0.407683,0.333945,0.973859,0.961280,0.985429,0.987448,14:50:47
38.999665,0.001000,2.220567,0.755769,0.387227,0.321803,0.974128,0.960592,0.987991,0.987336,15:07:36
39.499665,0.001000,2.282188,0.773724,0.406092,0.328647,0.974190,0.960039,0.989171,0.987511,15:24:31
39.999665,0.001000,2.333102,0.795052,0.405301,0.337697,0.975004,0.962874,0.987743,0.986527,15:41:27
40.499665,0.001000,2.164293,0.733647,0.384301,0.312698,0.973388,0.961057,0.986716,0.984721,15:58:20
40.999665,0.001000,2.228406,0.752239,0.393265,0.330663,0.975285,0.961995,0.988554,0.988593,16:15:18
41.499665,0.001000,2.216690,0.748719,0.397307,0.321947,0.973787,0.960059,0.987800,0.987231,16:32:15
41.999665,0.001000,2.230643,0.753596,0.393116,0.330335,0.973051,0.960212,0.985899,0.985881,16:49:03
42.499665,0.001000,2.142920,0.724444,0.379424,0.314609,0.975467,0.964495,0.985884,0.986993,17:05:54
42.999665,0.001000,2.173323,0.732333,0.382019,0.326639,0.973592,0.960226,0.987185,0.986732,17:22:42
43.499665,0.001000,2.175352,0.729342,0.385299,0.331368,0.975406,0.963003,0.987935,0.987682,17:39:37
43.999665,0.001000,2.258977,0.769205,0.398941,0.321625,0.975002,0.963115,0.987312,0.986465,17:56:31
44.499665,0.001000,2.250891,0.757769,0.397608,0.337746,0.975246,0.961900,0.988880,0.988302,18:13:35
44.999665,0.001000,2.157174,0.729173,0.391581,0.307247,0.975965,0.964632,0.986714,0.987881,18:30:28
45.499665,0.001000,2.239994,0.761729,0.396751,0.319785,0.974516,0.962122,0.987359,0.986460,18:47:24
45.999665,0.001000,2.253891,0.764028,0.402067,0.323768,0.975829,0.964486,0.987048,0.987298,19:04:16
46.499665,0.001000,2.214846,0.745785,0.394509,0.328766,0.975219,0.964127,0.988300,0.984323,19:21:07
46.999665,0.001000,2.130850,0.718266,0.381629,0.312689,0.975514,0.963332,0.987676,0.987716,19:37:55
47.499665,0.001000,2.161665,0.730793,0.385984,0.314095,0.973542,0.958319,0.989469,0.988062,19:54:48
47.999665,0.001000,2.101199,0.707000,0.369383,0.317816,0.975030,0.962801,0.986959,0.987559,20:11:30
48.499665,0.001000,2.261216,0.761201,0.401412,0.337402,0.974238,0.960251,0.988686,0.987766,20:28:21
48.999665,0.001000,2.140779,0.725605,0.381397,0.308172,0.976635,0.964070,0.990183,0.988217,20:45:05
49.499665,0.001000,2.228720,0.752705,0.398532,0.324778,0.976161,0.963934,0.988364,0.988413,21:02:03
49.999665,0.001000,2.155481,0.727767,0.380235,0.319711,0.976715,0.964488,0.989612,0.988274,21:18:55
50.499665,0.001000,2.069380,0.697043,0.373012,0.302282,0.975244,0.964585,0.985151,0.986657,21:35:53
50.999665,0.001000,2.114751,0.712136,0.376947,0.313531,0.974490,0.961817,0.988271,0.986057,21:52:48
51.499665,0.001000,2.138669,0.723820,0.372605,0.318424,0.973705,0.958805,0.989757,0.987455,22:09:51
51.999665,0.001000,2.184044,0.737086,0.384750,0.325122,0.975826,0.963466,0.988575,0.987799,22:26:46
52.499665,0.001000,2.203193,0.740539,0.394957,0.327157,0.975099,0.962133,0.987870,0.988258,22:43:52
52.999665,0.001000,2.226615,0.749659,0.396664,0.330634,0.976292,0.964955,0.986733,0.988523,23:01:08
53.499665,0.001000,2.106439,0.712755,0.372248,0.308681,0.976682,0.964852,0.988557,0.988469,23:18:18
53.999665,0.001000,2.097057,0.704533,0.373354,0.314637,0.969071,0.959283,0.975622,0.982099,23:35:23
54.499665,0.001000,2.074587,0.695835,0.364987,0.317929,0.975138,0.962927,0.988334,0.986364,23:52:25
