epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
28.249514,0.000050,1.066268,0.391079,0.155570,0.128541,0.985711,0.979422,0.992566,0.991434,0:10:43
28.499417,0.000050,1.104692,0.403734,0.168273,0.128951,0.986063,0.979401,0.993364,0.992088,0:20:52
28.749320,0.000050,1.067801,0.397298,0.154390,0.118815,0.985933,0.979754,0.992005,0.992220,0:31:00
28.999223,0.000050,1.092236,0.397522,0.159745,0.137446,0.985565,0.978993,0.992359,0.991913,0:41:07
29.249514,0.000050,1.149963,0.413501,0.170542,0.152418,0.985898,0.979681,0.992449,0.991781,0:51:15
29.499417,0.000050,0.975571,0.356020,0.140017,0.123514,0.986510,0.980595,0.992687,0.992161,1:01:21
29.749320,0.000050,1.009328,0.369120,0.149568,0.121521,0.986190,0.979568,0.993256,0.992370,1:11:28
29.999223,0.000050,1.138062,0.413536,0.174863,0.136126,0.986479,0.980436,0.992690,0.992354,1:21:35
30.249514,0.000050,0.995399,0.366152,0.152053,0.111041,0.986311,0.980438,0.992524,0.991845,1:31:43
30.499417,0.000050,1.030541,0.375517,0.155296,0.124210,0.985542,0.978604,0.992606,0.992355,1:41:49
30.749320,0.000050,0.968369,0.354620,0.140256,0.118874,0.986840,0.980630,0.993603,0.992499,1:51:55
30.999223,0.000050,1.137100,0.415998,0.172093,0.133011,0.986824,0.980761,0.993559,0.992214,2:02:04
31.249514,0.000050,1.006081,0.369288,0.147527,0.119979,0.985009,0.979542,0.990743,0.990208,2:12:14
31.499417,0.000050,0.987689,0.360255,0.148336,0.118842,0.985971,0.979376,0.992385,0.992748,2:22:19
31.749320,0.000050,1.026835,0.373360,0.149035,0.131079,0.986162,0.979840,0.993126,0.991841,2:32:26
31.999223,0.000050,0.935775,0.342681,0.138266,0.112148,0.985869,0.979340,0.992314,0.992481,2:42:31
32.249514,0.000050,0.935472,0.341790,0.140488,0.111404,0.986289,0.980098,0.992630,0.992329,2:52:41
32.499417,0.000050,0.997551,0.362975,0.150441,0.121160,0.986023,0.979627,0.993012,0.991824,3:02:46
32.749320,0.000050,1.130820,0.410957,0.169527,0.139379,0.986946,0.981236,0.993231,0.992080,3:12:52
32.999223,0.000050,1.151436,0.410375,0.183563,0.147124,0.986416,0.980066,0.993247,0.992285,3:23:00
33.249514,0.000050,1.006870,0.362638,0.148936,0.132657,0.986522,0.980342,0.992761,0.992643,3:33:09
33.499417,0.000050,1.006146,0.366202,0.151905,0.121838,0.986375,0.980146,0.993109,0.992100,3:43:16
33.749320,0.000050,0.939338,0.341733,0.134511,0.121361,0.986585,0.980420,0.993113,0.992388,3:53:23
33.999223,0.000050,0.896146,0.324899,0.131688,0.114661,0.985839,0.979312,0.992814,0.991916,4:03:30
34.249514,0.000050,1.009801,0.369346,0.150827,0.120282,0.986040,0.979447,0.992767,0.992499,4:13:41
34.499417,0.000050,0.955891,0.350151,0.140321,0.115268,0.986394,0.980423,0.992738,0.991991,4:23:48
34.749320,0.000050,0.971230,0.356513,0.140372,0.117832,0.986236,0.979962,0.993058,0.991961,4:33:54
34.999223,0.000050,0.987739,0.361268,0.150933,0.114270,0.986654,0.980780,0.993042,0.992014,4:44:01
35.249514,0.000050,0.943419,0.348662,0.134595,0.111500,0.986029,0.979365,0.993384,0.992001,4:54:10
35.499417,0.000050,1.008491,0.367814,0.155276,0.117588,0.986405,0.980346,0.992703,0.992222,5:04:17
35.749320,0.000050,1.033440,0.378286,0.153024,0.123844,0.986193,0.979801,0.993297,0.991872,5:14:24
35.999223,0.000050,1.061784,0.387660,0.153363,0.133101,0.985985,0.978995,0.993704,0.992247,5:24:31
36.249514,0.000050,0.946454,0.349603,0.137896,0.109352,0.986324,0.980102,0.993285,0.991809,5:34:42
36.499417,0.000050,1.011994,0.367505,0.151055,0.125930,0.986293,0.980189,0.992332,0.992461,5:44:50
36.749320,0.000050,0.949899,0.353090,0.138133,0.105585,0.986007,0.979536,0.992511,0.992445,5:54:57
36.999223,0.000050,0.991229,0.358352,0.150990,0.123535,0.986250,0.979783,0.993539,0.991896,6:05:03
37.249514,0.000050,1.018528,0.369239,0.157860,0.122191,0.986881,0.980405,0.994088,0.992628,6:15:14
37.499417,0.000050,1.080551,0.391388,0.164763,0.133011,0.986190,0.979371,0.993568,0.992450,6:25:21
37.749320,0.000050,1.013756,0.368473,0.147879,0.128931,0.986119,0.979607,0.992746,0.992519,6:35:26
37.999223,0.000050,0.982839,0.358522,0.147050,0.118746,0.986600,0.979902,0.994050,0.992544,6:45:31
38.249514,0.000050,0.959590,0.345729,0.143464,0.124668,0.986639,0.980505,0.993021,0.992527,6:55:38
38.499417,0.000050,1.127153,0.407454,0.169419,0.142826,0.985202,0.979632,0.990143,0.991399,7:05:42
38.749320,0.000050,1.011756,0.365442,0.155722,0.125150,0.985925,0.979640,0.992504,0.991914,7:15:47
38.999223,0.000050,1.086915,0.392943,0.157926,0.143102,0.986399,0.980118,0.993053,0.992308,7:25:53
39.249514,0.000050,0.974130,0.356773,0.145562,0.115022,0.986783,0.980511,0.993363,0.992745,7:36:02
39.499417,0.000050,0.916636,0.336475,0.137724,0.105962,0.985919,0.979092,0.992789,0.992705,7:46:08
39.749320,0.000050,1.020280,0.372595,0.150265,0.124826,0.985476,0.978740,0.992336,0.992085,7:56:14
39.999223,0.000050,1.033902,0.374682,0.154834,0.129703,0.985876,0.979149,0.992682,0.992522,8:06:20
40.249514,0.000050,1.011058,0.374187,0.143429,0.119255,0.985946,0.980039,0.991772,0.991936,8:16:30
40.499417,0.000050,0.993773,0.360405,0.148227,0.124735,0.986713,0.980269,0.993638,0.992676,8:26:36
40.749320,0.000050,0.976793,0.354643,0.149029,0.118478,0.986611,0.980474,0.993221,0.992276,8:36:42
40.999223,0.000050,1.039877,0.376273,0.154348,0.132983,0.986033,0.979761,0.993123,0.991487,8:46:48
41.249514,0.000050,1.039730,0.374908,0.162622,0.127293,0.987392,0.981529,0.993992,0.992519,8:56:58
41.499417,0.000050,1.094546,0.389645,0.167246,0.148009,0.986159,0.979563,0.993367,0.992144,9:07:06
41.749320,0.000050,1.028021,0.372006,0.155790,0.128218,0.986777,0.980364,0.993544,0.992836,9:17:13
