epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
169.498994,0.000950,5.392651,1.843800,0.950007,0.755043,0.980019,0.971618,0.988888,0.987949,0:15:23
169.998659,0.000950,5.155340,1.757609,0.914955,0.725167,0.980056,0.971488,0.988050,0.989196,0:30:45
170.498994,0.000950,5.145177,1.743180,0.911135,0.747683,0.980414,0.971475,0.990086,0.988620,0:46:04
170.998659,0.000950,5.101500,1.733906,0.898513,0.735175,0.978777,0.971043,0.988131,0.984890,1:00:49
171.498994,0.000950,5.084456,1.733406,0.901205,0.716439,0.982445,0.974842,0.991217,0.988878,1:15:30
171.998659,0.000950,5.044494,1.719839,0.892350,0.712465,0.980179,0.971281,0.989525,0.988628,1:29:52
172.498994,0.000950,5.081383,1.729088,0.897672,0.725534,0.980111,0.971014,0.988874,0.989542,1:44:45
172.998659,0.000950,5.061732,1.724230,0.896673,0.716599,0.981880,0.973662,0.990250,0.989944,1:59:37
173.498994,0.000950,5.056070,1.715419,0.893174,0.732057,0.980678,0.972738,0.989607,0.987628,2:14:52
173.998659,0.000950,5.009852,1.701112,0.882394,0.725235,0.981244,0.971944,0.991565,0.989523,2:30:04
