epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
52.498994,0.001000,5.620748,1.923301,0.968850,0.805296,0.977742,0.968928,0.987803,0.985308,0:15:40
52.998659,0.001000,5.393842,1.841406,0.946088,0.764942,0.977429,0.968284,0.988411,0.984736,0:30:35
53.498994,0.001000,5.353157,1.836497,0.930519,0.749645,0.977563,0.968407,0.986037,0.987399,0:45:37
53.998659,0.001000,5.269454,1.808458,0.918030,0.734508,0.978865,0.969264,0.987628,0.989304,1:00:31
54.498994,0.001000,5.275797,1.807547,0.917199,0.743504,0.979109,0.970095,0.986847,0.989399,1:15:24
54.998659,0.001000,5.266405,1.796466,0.915521,0.757952,0.977503,0.966938,0.988324,0.987814,1:30:16
55.498994,0.001000,5.241630,1.789282,0.917265,0.745800,0.978279,0.967753,0.988900,0.988711,1:45:19
55.998659,0.001000,5.215568,1.782577,0.912781,0.737634,0.978529,0.970120,0.986724,0.987150,2:00:21
56.498994,0.001000,5.181454,1.774877,0.899283,0.732417,0.978777,0.970782,0.986269,0.987276,2:15:35
56.998659,0.001000,5.175379,1.760291,0.904428,0.750369,0.979614,0.969569,0.989728,0.989588,2:30:43
