epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
119.498994,0.001000,0.249904,0.084522,0.042592,0.038269,0.981615,0.973835,0.989247,0.989542,0:11:33
119.998659,0.001000,0.262926,0.088584,0.044759,0.040999,0.980869,0.974697,0.988163,0.985920,0:23:07
120.498994,0.001000,0.224834,0.074659,0.040636,0.034880,0.981180,0.976088,0.986234,0.986312,0:34:45
120.998659,0.001000,0.248692,0.080648,0.041642,0.045754,0.980610,0.973189,0.988428,0.987633,0:46:18
121.498994,0.001000,0.206076,0.068809,0.035913,0.032545,0.981843,0.973709,0.989030,0.990923,0:57:56
121.998659,0.001000,0.215268,0.071766,0.036188,0.035549,0.980610,0.972868,0.988945,0.987757,1:09:30
122.498994,0.001000,0.209539,0.069756,0.037552,0.032475,0.979530,0.971736,0.987730,0.986918,1:21:08
122.998659,0.001000,0.232419,0.078086,0.036734,0.039513,0.979338,0.971881,0.988025,0.985565,1:32:42
123.498994,0.001000,0.219263,0.071948,0.038060,0.037308,0.978460,0.969080,0.988501,0.987177,1:44:19
123.998659,0.001000,0.222134,0.074832,0.037632,0.034838,0.981191,0.973857,0.989869,0.987183,1:55:53
