epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
111.498994,0.001000,2.145559,0.683105,0.423315,0.356035,0.982152,0.975085,0.991297,0.987139,0:13:59
111.998659,0.001000,1.938980,0.609573,0.378260,0.341574,0.980610,0.973008,0.986585,0.989836,0:28:12
112.498994,0.001000,1.890053,0.592677,0.369593,0.335107,0.982966,0.975876,0.990458,0.989655,0:42:19
112.998659,0.001000,1.881785,0.589066,0.365837,0.337815,0.980679,0.971537,0.992129,0.987513,0:56:40
113.498994,0.001000,1.838763,0.571912,0.361423,0.333516,0.981811,0.973226,0.990168,0.990622,1:11:11
113.998659,0.001000,1.841168,0.572772,0.360632,0.334991,0.982925,0.976450,0.989041,0.989760,1:25:45
114.498994,0.001000,1.821678,0.566469,0.356933,0.331807,0.982149,0.974155,0.990843,0.989443,1:40:23
114.998659,0.001000,1.798550,0.566803,0.357767,0.307177,0.984021,0.977646,0.990586,0.990206,1:55:12
115.498994,0.001000,1.766181,0.549379,0.351597,0.315827,0.981383,0.974352,0.989385,0.987443,2:10:04
115.998659,0.001000,1.778225,0.553077,0.345981,0.326089,0.981874,0.975047,0.990173,0.987229,2:24:58
