epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
4.498994,0.001000,4.469977,1.547420,0.744872,0.630264,0.948586,0.926097,0.970555,0.971593,0:14:41
4.998659,0.001000,4.101894,1.408402,0.696118,0.588972,0.952950,0.931904,0.974499,0.973491,0:29:03
5.498994,0.001000,3.895540,1.331396,0.660428,0.572321,0.949532,0.929013,0.964483,0.975620,0:43:23
5.998659,0.001000,3.808037,1.302540,0.652572,0.550385,0.954380,0.934066,0.973806,0.975583,0:57:33
6.498994,0.001000,3.694233,1.266503,0.628357,0.532871,0.953402,0.931111,0.976231,0.975155,1:11:57
6.998659,0.001000,3.607385,1.226983,0.618726,0.534692,0.952481,0.932183,0.977332,0.968228,1:26:18
7.498994,0.001000,3.466518,1.174366,0.599899,0.517889,0.958372,0.940528,0.974662,0.977772,1:40:46
7.998659,0.001000,3.409152,1.145888,0.594930,0.522446,0.960550,0.943379,0.977703,0.977737,1:55:13
8.498994,0.001000,3.311547,1.111389,0.578787,0.509983,0.958358,0.937993,0.977926,0.979519,2:09:43
8.998659,0.001000,3.273926,1.096925,0.574315,0.505760,0.961107,0.948455,0.973183,0.974336,2:24:06
