epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
12.498994,0.001000,0.580970,0.196956,0.089646,0.097411,0.966044,0.950220,0.982636,0.981100,0:11:32
12.998659,0.001000,0.560410,0.191245,0.084591,0.093329,0.965650,0.953892,0.979711,0.975105,0:23:04
13.498994,0.001000,0.491537,0.172028,0.075826,0.071655,0.958596,0.943770,0.975488,0.971355,0:34:40
13.998659,0.001000,0.502980,0.167754,0.079767,0.087706,0.959200,0.947573,0.972310,0.969346,0:46:13
14.498994,0.001000,0.469621,0.161217,0.072569,0.074617,0.963959,0.942820,0.986069,0.984127,0:57:49
14.998659,0.001000,0.476562,0.166647,0.071417,0.071851,0.972469,0.960203,0.984323,0.985147,1:09:21
15.498994,0.001000,0.408795,0.141707,0.064645,0.060737,0.970602,0.956993,0.983958,0.984464,1:20:58
15.998659,0.001000,0.435481,0.147898,0.066848,0.072838,0.964793,0.948598,0.980993,0.980981,1:32:30
16.498994,0.001000,0.401501,0.136098,0.065033,0.064271,0.970855,0.957422,0.982359,0.986216,1:44:06
16.998659,0.001000,0.415569,0.143075,0.063480,0.065939,0.956951,0.941072,0.977790,0.967869,1:55:38
