epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
30.999329,0.001000,1.441499,0.468543,0.267234,0.237179,0.974179,0.961397,0.987304,0.986619,0:26:15
31.999329,0.001000,1.480247,0.479502,0.274691,0.246553,0.972899,0.961075,0.987207,0.982239,0:53:43
32.999329,0.001000,1.467723,0.472273,0.275055,0.248121,0.976116,0.966250,0.985973,0.985991,1:19:47
33.999329,0.001000,1.411736,0.460038,0.261601,0.230060,0.975490,0.964073,0.987052,0.986763,1:45:21
34.999329,0.001000,1.428853,0.460951,0.266335,0.240616,0.978307,0.967238,0.990218,0.988536,2:11:15
35.999329,0.001000,1.442732,0.467077,0.265276,0.243303,0.977456,0.966076,0.989804,0.987869,2:37:05
36.999329,0.001000,1.390610,0.447067,0.257079,0.239396,0.976320,0.965407,0.988980,0.985489,3:03:01
37.999329,0.001000,1.396449,0.451738,0.260467,0.232507,0.976524,0.965443,0.986834,0.988377,3:28:49
38.999329,0.001000,1.423512,0.460024,0.265480,0.237984,0.977942,0.965717,0.990629,0.989706,3:54:38
39.999329,0.001000,1.334093,0.434467,0.244439,0.220719,0.977688,0.966968,0.987581,0.989237,4:20:02
40.999329,0.000950,1.387982,0.447002,0.262230,0.231748,0.977213,0.967233,0.988212,0.986174,4:46:05
41.999329,0.000950,1.374070,0.442855,0.258922,0.229438,0.974664,0.963124,0.988768,0.983640,5:11:58
42.999329,0.000950,1.317087,0.424408,0.248507,0.219764,0.979316,0.970388,0.987297,0.989190,5:37:51
43.999329,0.000950,1.336266,0.429557,0.248806,0.228347,0.976891,0.966192,0.987348,0.987831,6:03:41
44.999329,0.000950,1.335609,0.428682,0.251075,0.227170,0.975205,0.965940,0.986366,0.982574,6:29:42
45.999329,0.000950,1.333419,0.428406,0.251325,0.225281,0.977426,0.966472,0.988670,0.988091,6:55:50
46.999329,0.000950,1.286953,0.415293,0.239312,0.217056,0.975452,0.962084,0.987644,0.989996,7:21:37
47.999329,0.000950,1.352932,0.431566,0.255985,0.233814,0.979180,0.969016,0.989654,0.989034,7:47:51
48.999329,0.000903,1.268992,0.407503,0.241128,0.212858,0.979655,0.969828,0.990078,0.988885,8:13:29
49.999329,0.000903,1.338675,0.425097,0.254535,0.233946,0.979925,0.969860,0.990861,0.989118,8:39:34
50.999329,0.000903,1.253589,0.401370,0.237340,0.213509,0.977833,0.967197,0.987942,0.988995,9:05:04
51.999329,0.000903,1.297081,0.413140,0.247276,0.223525,0.978654,0.968597,0.988574,0.988846,9:30:53
52.999329,0.000903,1.295286,0.413882,0.246636,0.220887,0.980407,0.972071,0.990108,0.987375,9:56:47
53.999329,0.000903,1.265647,0.405572,0.240472,0.214030,0.976913,0.965747,0.987592,0.988567,10:22:33
54.999329,0.000903,1.256054,0.400771,0.238082,0.216429,0.979025,0.970272,0.987922,0.987635,10:48:33
55.999329,0.000903,1.264447,0.403197,0.238786,0.219266,0.978291,0.967248,0.988620,0.990047,11:14:27
56.999329,0.000903,1.230690,0.394603,0.234175,0.207309,0.976433,0.965159,0.988506,0.986907,11:40:17
57.999329,0.000903,1.239850,0.394432,0.234516,0.216471,0.980830,0.972572,0.988310,0.989867,12:06:08
58.999329,0.000903,1.241417,0.395009,0.235157,0.216243,0.979449,0.971526,0.987446,0.987299,12:32:07
59.999329,0.000903,1.201779,0.382082,0.229979,0.207636,0.980077,0.970111,0.989670,0.990414,12:57:48
60.999329,0.000903,1.182768,0.377421,0.227538,0.200388,0.981169,0.973079,0.989213,0.989307,13:23:16
61.999329,0.000903,1.229544,0.391536,0.234352,0.212120,0.979977,0.970670,0.987228,0.991340,13:48:49
62.999329,0.000903,1.222417,0.390910,0.228997,0.211600,0.980261,0.970517,0.990147,0.989862,14:14:10
63.999329,0.000903,1.172049,0.373887,0.223792,0.200482,0.977574,0.966163,0.990057,0.987912,14:39:35
64.999329,0.000903,1.221103,0.385775,0.234284,0.215270,0.979006,0.970491,0.989225,0.985817,15:05:21
65.999329,0.000903,1.234181,0.391592,0.233533,0.217463,0.978027,0.970292,0.987590,0.983934,15:31:10
66.999329,0.000857,1.209845,0.381418,0.234293,0.212716,0.979234,0.968956,0.989766,0.989257,15:57:00
67.999329,0.000857,1.185867,0.374595,0.227442,0.209236,0.975944,0.964175,0.988983,0.986442,16:22:53
68.999329,0.000857,1.203925,0.380780,0.232735,0.209630,0.976907,0.966672,0.988841,0.985443,16:48:41
69.999329,0.000857,1.156399,0.366657,0.220286,0.202800,0.980764,0.971610,0.988814,0.991021,17:14:15
70.999329,0.000857,1.149293,0.360375,0.220770,0.207773,0.980991,0.972249,0.990037,0.989427,17:39:14
71.999329,0.000815,1.145793,0.361189,0.219436,0.203979,0.980822,0.971788,0.990208,0.989502,18:04:22
72.999329,0.000815,1.152077,0.363800,0.222733,0.201744,0.979653,0.970439,0.988530,0.989204,18:29:38
73.999329,0.000815,1.166923,0.367760,0.225087,0.206316,0.980342,0.970435,0.990549,0.989948,18:54:53
