epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
85.498994,0.001000,2.006772,0.675867,0.359347,0.295691,0.982478,0.974750,0.991203,0.989211,0:21:20
85.998659,0.001000,2.062049,0.691502,0.371420,0.307625,0.981066,0.972271,0.989746,0.989978,0:42:11
86.498994,0.001000,2.060576,0.690203,0.368698,0.311472,0.979321,0.969187,0.989871,0.989041,1:03:02
86.998659,0.001000,1.970961,0.656105,0.355849,0.302901,0.980483,0.971107,0.989958,0.989763,1:23:53
87.498994,0.001000,1.977093,0.659561,0.353002,0.304968,0.981177,0.971934,0.990266,0.990575,1:44:44
87.998659,0.001000,1.964115,0.662701,0.350611,0.288103,0.981790,0.972530,0.992394,0.989707,2:05:32
88.498994,0.001000,1.934679,0.645513,0.346616,0.297038,0.981529,0.973317,0.989626,0.989856,2:26:23
88.998659,0.001000,1.974826,0.659544,0.359950,0.295789,0.981494,0.972704,0.990278,0.990290,2:47:08
89.498994,0.001000,1.826279,0.606634,0.334230,0.278781,0.981687,0.972801,0.990642,0.990503,3:07:58
89.998659,0.001000,2.057794,0.683146,0.373397,0.318105,0.982319,0.974930,0.989048,0.990367,3:28:46
90.498994,0.001000,2.027905,0.677667,0.365318,0.307254,0.981569,0.974378,0.987843,0.989676,3:49:38
90.998659,0.001000,1.972916,0.660950,0.360672,0.290343,0.981371,0.971782,0.992501,0.989420,4:10:24
91.498994,0.001000,2.032703,0.682657,0.362106,0.305283,0.980708,0.971617,0.990098,0.989500,4:31:15
91.998659,0.001000,2.090517,0.701327,0.375184,0.312678,0.978507,0.969187,0.988324,0.987331,4:52:02
92.498994,0.001000,2.005097,0.671947,0.365340,0.295865,0.981801,0.974755,0.988107,0.989586,5:12:52
92.998659,0.001000,2.023639,0.672883,0.365820,0.312054,0.980780,0.972493,0.988139,0.989995,5:33:38
93.498994,0.001000,2.061796,0.691967,0.370549,0.307313,0.981512,0.972695,0.990429,0.990230,5:54:27
93.998659,0.001000,1.888641,0.631448,0.344224,0.281521,0.981625,0.973563,0.988949,0.990424,6:15:13
94.498994,0.001000,2.143540,0.710738,0.392469,0.329595,0.982917,0.974786,0.992578,0.989520,6:36:02
94.998659,0.001000,1.989011,0.660471,0.359492,0.308577,0.981861,0.973785,0.990341,0.989533,6:56:49
95.498994,0.001000,2.059753,0.684830,0.376140,0.313952,0.979693,0.971176,0.987252,0.989167,7:17:37
95.998659,0.001000,2.158973,0.723238,0.386354,0.326144,0.980555,0.971977,0.987426,0.990839,7:38:23
96.498994,0.001000,1.856952,0.613993,0.340734,0.288231,0.983245,0.975038,0.991868,0.991036,7:59:10
96.998659,0.001000,1.923860,0.645095,0.350273,0.283397,0.980977,0.971753,0.989989,0.990414,8:19:55
97.498994,0.001000,2.077460,0.697156,0.375149,0.307998,0.981109,0.971906,0.990873,0.989751,8:40:44
97.998659,0.001000,2.083241,0.695557,0.376138,0.315989,0.980491,0.971844,0.989913,0.988362,9:01:28
98.498994,0.001000,2.003821,0.663888,0.361668,0.314377,0.981008,0.970890,0.991663,0.990589,9:22:18
98.998659,0.001000,2.021665,0.683693,0.363323,0.290956,0.982935,0.975682,0.990834,0.989541,9:43:03
