epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
0.999329,0.001000,8.847506,3.305943,1.178483,1.057137,0.802081,0.692041,0.897423,0.926821,0:23:45
1.999329,0.001000,4.693637,1.659772,0.735508,0.638584,0.887166,0.828173,0.941756,0.950561,0:47:53
2.999329,0.001000,4.044824,1.410584,0.662357,0.561298,0.893796,0.847767,0.946833,0.932816,1:11:07
3.999329,0.001000,3.771043,1.309666,0.623643,0.528068,0.849672,0.801749,0.894671,0.900520,1:34:50
4.999329,0.001000,3.429443,1.190953,0.565224,0.482314,0.920082,0.890158,0.938855,0.961157,1:58:09
5.999329,0.001000,3.317806,1.155943,0.550351,0.455569,0.948447,0.921146,0.974797,0.976700,2:21:58
6.999329,0.001000,3.110068,1.084660,0.511187,0.429560,0.641650,0.550500,0.744368,0.721234,2:45:35
7.999329,0.001000,2.910659,1.008778,0.481304,0.411800,0.657153,0.522456,0.802360,0.781342,3:09:10
8.999329,0.001000,2.974695,1.030122,0.498489,0.415962,0.957126,0.936827,0.977114,0.977734,3:32:58
9.999329,0.001000,2.890717,0.999360,0.482001,0.409995,0.952187,0.932120,0.974732,0.969774,3:56:09
10.999329,0.001000,2.798094,0.965428,0.468140,0.399098,0.907854,0.899134,0.892623,0.940523,4:19:08
11.999329,0.001000,2.718254,0.939973,0.455241,0.383067,0.963094,0.944244,0.981595,0.982295,4:42:08
12.999329,0.001000,2.617756,0.901322,0.443535,0.371578,0.956220,0.936442,0.978541,0.973456,5:05:25
13.999329,0.001000,2.788175,0.959020,0.475166,0.394969,0.962167,0.943345,0.982178,0.979801,5:29:06
14.999329,0.001000,2.673572,0.918043,0.452136,0.385350,0.936775,0.921342,0.932685,0.971733,5:52:30
15.999329,0.001000,2.710560,0.930708,0.459214,0.389931,0.963415,0.948050,0.976521,0.981041,6:15:41
16.999329,0.001000,2.609531,0.897277,0.443223,0.371755,0.959118,0.941555,0.975742,0.977620,6:39:11
