epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
99.999204,0.000005,1.814244,0.607443,0.368472,0.230885,0.987669,0.985867,0.991549,0.987393,0:20:54
100.999204,0.000005,1.752996,0.586818,0.356397,0.222963,0.987411,0.985307,0.991619,0.987409,0:41:59
101.999204,0.000005,1.805109,0.604881,0.365209,0.230138,0.986127,0.983434,0.991013,0.986626,1:02:59
102.999204,0.000005,1.741538,0.582916,0.353226,0.222479,0.987302,0.985243,0.991269,0.987454,1:23:53
103.999204,0.000005,1.697343,0.568049,0.344942,0.216302,0.987246,0.985175,0.991276,0.987360,1:44:45
104.999204,0.000005,1.670289,0.559852,0.338090,0.212494,0.987227,0.985069,0.991405,0.987366,2:05:40
105.999204,0.000005,1.663364,0.556247,0.337874,0.212995,0.987278,0.985264,0.991408,0.987177,2:26:34
106.999204,0.000005,1.669001,0.557117,0.339427,0.215340,0.986444,0.983942,0.991019,0.986873,2:47:27
107.999204,0.000005,1.758997,0.589101,0.357678,0.223115,0.985322,0.983430,0.990565,0.983865,3:08:17
108.999204,0.000005,1.684423,0.563969,0.341558,0.214926,0.986270,0.984155,0.991016,0.985752,3:29:09
109.999204,0.000005,1.700925,0.569083,0.346296,0.216462,0.985358,0.983558,0.990521,0.983794,3:50:02
110.999204,0.000005,1.664451,0.556465,0.338244,0.213277,0.987069,0.985458,0.991654,0.985705,4:10:52
111.999204,0.000005,1.734502,0.581039,0.352505,0.219919,0.986270,0.984208,0.990764,0.985902,4:31:44
