epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
110.999497,0.000100,1.756130,0.579881,0.321923,0.274445,0.982630,0.974513,0.992810,0.988685,0:32:41
111.999497,0.000100,1.809133,0.598496,0.335732,0.276409,0.981869,0.973938,0.991351,0.988246,1:05:25
112.999497,0.000100,1.840453,0.605836,0.341213,0.287567,0.981608,0.973394,0.991455,0.988189,1:38:18
113.999497,0.000100,1.692740,0.559762,0.310664,0.262551,0.982238,0.973182,0.991761,0.990829,2:10:52
114.999497,0.000100,1.672495,0.550038,0.308517,0.263902,0.982110,0.974056,0.991770,0.988557,2:43:28
115.999497,0.000100,1.808304,0.598005,0.332800,0.279493,0.981728,0.973082,0.992040,0.988708,3:16:40
116.999497,0.000100,1.757187,0.577220,0.326043,0.276703,0.982273,0.974572,0.991690,0.988259,3:49:59
117.999497,0.000100,1.801208,0.595452,0.331404,0.278901,0.982233,0.974428,0.992054,0.988020,4:23:08
118.999497,0.000100,1.762599,0.580755,0.325378,0.275711,0.981324,0.972755,0.991729,0.988060,4:56:12
119.999497,0.000100,1.708974,0.564226,0.315343,0.265179,0.982461,0.974748,0.992095,0.988253,5:29:05
120.999497,0.000100,1.729001,0.569686,0.317376,0.272254,0.981807,0.972745,0.991861,0.989876,6:01:58
121.999497,0.000100,1.763570,0.585003,0.324819,0.268744,0.981174,0.972401,0.991974,0.987918,6:35:04
122.999497,0.000100,1.692518,0.556423,0.313808,0.265864,0.982082,0.972993,0.992286,0.990056,7:07:45
123.999497,0.000100,1.761740,0.580252,0.324952,0.276284,0.982476,0.974197,0.991943,0.989569,7:40:43
124.999497,0.000100,1.729414,0.567772,0.319687,0.274182,0.982084,0.974371,0.991131,0.988464,8:13:42
