epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
70.499204,0.000240,2.038553,0.685799,0.359133,0.307822,0.974463,0.963106,0.987680,0.983960,0:07:05
70.999204,0.000240,2.132925,0.719746,0.379548,0.313886,0.973668,0.962016,0.986930,0.983710,0:13:40
71.499204,0.000240,1.975752,0.666851,0.357414,0.284636,0.974132,0.963343,0.987105,0.982738,0:20:17
71.999204,0.000240,1.935950,0.653397,0.347705,0.281450,0.973871,0.962403,0.987392,0.983288,0:26:48
72.499204,0.000240,2.079932,0.701995,0.371867,0.304076,0.973423,0.961836,0.987022,0.982995,0:33:23
72.999204,0.000240,1.901992,0.641582,0.338723,0.280104,0.973810,0.962245,0.987306,0.983443,0:39:48
73.499204,0.000240,1.915526,0.649142,0.338712,0.278531,0.973930,0.962542,0.987045,0.983593,0:46:16
73.999204,0.000240,2.029476,0.682923,0.365428,0.298202,0.973164,0.962048,0.985930,0.982630,0:52:45
74.499204,0.000240,2.073157,0.704225,0.367792,0.296915,0.973612,0.962319,0.987093,0.982717,0:59:15
74.999204,0.000240,2.004905,0.671671,0.352327,0.309236,0.973825,0.962046,0.987203,0.984005,1:05:41
75.499204,0.000240,1.998574,0.678217,0.361170,0.280970,0.974232,0.962255,0.987374,0.985043,1:12:08
75.999204,0.000240,1.980693,0.664226,0.349300,0.302941,0.973624,0.962592,0.986790,0.982521,1:18:34
76.499204,0.000168,2.035992,0.685684,0.365145,0.299480,0.974237,0.962396,0.987131,0.985025,1:25:01
76.999204,0.000168,1.954636,0.658626,0.348078,0.289306,0.974702,0.963187,0.987544,0.984887,1:31:22
77.499204,0.000168,1.906193,0.637973,0.343400,0.286847,0.974669,0.963075,0.987432,0.985094,1:37:47
77.999204,0.000168,2.164240,0.731550,0.385880,0.315260,0.974415,0.962508,0.987569,0.985076,1:44:13
78.499204,0.000168,1.861075,0.630246,0.330579,0.270005,0.973912,0.962530,0.987597,0.982993,1:50:42
78.999204,0.000168,1.963451,0.658992,0.353588,0.291880,0.974751,0.962478,0.987674,0.986375,1:57:05
79.499204,0.000168,1.942149,0.655967,0.346942,0.283273,0.975152,0.963462,0.987486,0.986196,2:03:34
79.999204,0.000168,1.928397,0.650563,0.348461,0.278810,0.974016,0.961714,0.986685,0.985951,2:10:02
80.499204,0.000168,1.893958,0.635479,0.338919,0.284081,0.974523,0.963102,0.986881,0.985010,2:16:29
80.999204,0.000168,2.125160,0.710188,0.383854,0.320929,0.974541,0.962544,0.987340,0.985735,2:22:58
81.499204,0.000168,1.978215,0.664870,0.359218,0.289257,0.974315,0.963121,0.987453,0.983564,2:29:30
81.999204,0.000168,2.054273,0.691979,0.365242,0.305073,0.974585,0.962604,0.987444,0.985688,2:36:09
82.499204,0.000168,1.966671,0.662795,0.354246,0.286834,0.974100,0.962168,0.987302,0.984761,2:42:50
82.999204,0.000168,1.966993,0.661638,0.354733,0.288983,0.973504,0.961540,0.987165,0.983771,2:49:17
83.499204,0.000118,2.020419,0.672158,0.360822,0.315281,0.974802,0.963076,0.987063,0.985991,2:55:47
83.999204,0.000118,1.963613,0.662711,0.354373,0.283819,0.974598,0.963581,0.987243,0.983987,3:02:14
84.499204,0.000118,1.888358,0.633389,0.343041,0.278539,0.974037,0.961805,0.987252,0.985288,3:08:42
84.999204,0.000118,1.913483,0.641762,0.345972,0.283987,0.974707,0.963307,0.987403,0.984809,3:15:15
85.499204,0.000118,1.761960,0.593440,0.317253,0.257827,0.974920,0.963650,0.986901,0.985480,3:21:52
85.999204,0.000118,1.933124,0.648363,0.345771,0.290627,0.974730,0.963093,0.986940,0.985794,3:28:30
86.499204,0.000118,2.065895,0.699520,0.370738,0.296116,0.974739,0.963255,0.987156,0.985288,3:35:11
86.999204,0.000118,1.934434,0.651560,0.344592,0.286723,0.974792,0.963175,0.986967,0.985851,3:41:50
87.499204,0.000118,2.014247,0.676717,0.359634,0.301179,0.974957,0.963589,0.986779,0.985870,3:48:20
87.999204,0.000118,1.974172,0.661299,0.355622,0.295951,0.974583,0.962541,0.987063,0.986186,3:54:47
88.499204,0.000118,1.956051,0.653103,0.355140,0.294705,0.975029,0.963786,0.987414,0.985130,4:01:15
88.999204,0.000118,1.909443,0.640070,0.344919,0.284384,0.974762,0.963614,0.987220,0.984601,4:07:41
89.499204,0.000118,1.876526,0.633219,0.330385,0.279703,0.974954,0.963593,0.987676,0.984955,4:14:06
89.999204,0.000118,2.049278,0.688278,0.367283,0.305438,0.974882,0.963422,0.987587,0.985097,4:20:34
90.499204,0.000082,1.991597,0.670072,0.354014,0.297438,0.975076,0.963810,0.987117,0.985567,4:27:02
90.999204,0.000082,1.804255,0.603286,0.328788,0.268894,0.974653,0.963029,0.987255,0.985299,4:33:25
91.499204,0.000082,1.896797,0.635677,0.342246,0.283197,0.975042,0.963651,0.987686,0.985179,4:39:53
91.999204,0.000082,1.909221,0.644301,0.340187,0.280432,0.975084,0.963866,0.987365,0.985239,4:46:17
92.499204,0.000082,1.986974,0.668360,0.355574,0.294680,0.975038,0.963689,0.987724,0.985051,4:52:46
92.999204,0.000082,1.811646,0.603497,0.332874,0.271779,0.974254,0.963203,0.987232,0.983380,4:59:09
