epoch,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
0.499204,0.001000,8.937635,3.410917,1.297239,0.818563,0.675363,0.639484,0.712997,0.709486,0:09:00
0.999204,0.001000,6.119030,2.244406,1.012896,0.617322,0.825589,0.749183,0.906800,0.897188,0:17:15
1.499204,0.001000,5.642942,2.053082,0.960611,0.576166,0.850079,0.800573,0.931340,0.867831,0:25:25
1.999204,0.001000,5.418385,1.966756,0.925388,0.559486,0.887657,0.835237,0.944191,0.935965,0:33:30
2.499204,0.001000,5.133354,1.861525,0.878411,0.531892,0.908079,0.869542,0.955340,0.937891,0:41:49
2.999204,0.001000,4.972258,1.803574,0.848917,0.516194,0.907382,0.881902,0.953409,0.912315,0:50:09
3.499204,0.001000,4.783177,1.731627,0.821540,0.498384,0.918362,0.887439,0.959169,0.939401,0:58:31
3.999204,0.001000,4.773715,1.729600,0.816104,0.498410,0.910295,0.870643,0.965933,0.933963,1:06:50
4.499204,0.001000,4.690774,1.698834,0.804053,0.489054,0.931286,0.901172,0.967292,0.955510,1:15:12
4.999204,0.001000,4.646172,1.682260,0.796770,0.484883,0.937637,0.911700,0.970945,0.956203,1:23:30
5.499204,0.001000,4.520526,1.635435,0.776150,0.473506,0.922325,0.892837,0.958604,0.945023,1:31:53
5.999204,0.001000,4.436685,1.604817,0.761704,0.465348,0.931048,0.913572,0.966627,0.930420,1:40:14
6.499204,0.001000,4.477419,1.618706,0.769170,0.470837,0.947273,0.927676,0.972702,0.961039,1:48:37
6.999204,0.001000,4.431818,1.602679,0.760172,0.466288,0.939627,0.917990,0.965011,0.957515,1:56:57
7.499204,0.001000,4.321741,1.559370,0.743513,0.459489,0.951711,0.929775,0.978329,0.968966,2:05:12
7.999204,0.001000,4.243638,1.531716,0.730329,0.449877,0.952086,0.930285,0.980068,0.967706,2:13:18
8.499204,0.001000,4.306836,1.554226,0.741280,0.457104,0.948875,0.926586,0.975145,0.967181,2:21:25
8.999204,0.001000,4.199552,1.515112,0.721690,0.447638,0.948676,0.925298,0.978448,0.965662,2:29:28
9.499204,0.001000,4.195084,1.512144,0.723250,0.447546,0.956473,0.937448,0.981232,0.969763,2:37:32
9.999204,0.001000,4.148147,1.494876,0.715176,0.443220,0.954777,0.933233,0.981284,0.971359,2:45:33
10.499204,0.001000,4.130914,1.487412,0.712678,0.443411,0.952454,0.935538,0.977569,0.961172,2:53:35
10.999204,0.001000,4.065392,1.464232,0.701154,0.435774,0.951734,0.933571,0.977306,0.962487,3:01:35
11.499204,0.001000,4.033639,1.450727,0.695973,0.436211,0.951845,0.934358,0.976862,0.961803,3:09:37
11.999204,0.001000,4.038196,1.453470,0.696223,0.435034,0.954702,0.938355,0.978826,0.963273,3:17:33
12.499204,0.001000,3.950056,1.419090,0.685251,0.426626,0.954497,0.935463,0.979600,0.967462,3:25:24
