image_name,target
ISIC_0052060,0.03561914
ISIC_0052349,0.030290356
ISIC_0058510,0.020130107
ISIC_0073313,0.021280468
ISIC_0073502,0.16142961
ISIC_0074618,0.06900584
ISIC_0076801,0.055044293
ISIC_0077586,0.11927571
ISIC_0082004,0.12539022
ISIC_0082785,0.21937585
ISIC_0085332,0.013762643
ISIC_0087243,0.023340017
ISIC_0088167,0.0685891
ISIC_0089356,0.041345317
ISIC_0090283,0.06414882
ISIC_0092481,0.06471491
ISIC_0095455,0.035366755
ISIC_0095790,0.028932115
ISIC_0097719,0.2252277
ISIC_0099348,0.26210016
ISIC_0101040,0.058753103
ISIC_0101383,0.06870671
ISIC_0105104,0.2716818
ISIC_0108196,0.04068771
ISIC_0112420,0.85434216
ISIC_0114232,0.014150311
ISIC_0115798,0.06804565
ISIC_0116844,0.026818773
ISIC_0126432,0.06796666
ISIC_0131485,0.023453256
ISIC_0131912,0.017761001
ISIC_0131978,0.018636664
ISIC_0139322,0.105300866
ISIC_0142066,0.05640321
ISIC_0143109,0.09583933
ISIC_0148210,0.2839109
ISIC_0148937,0.23902762
ISIC_0150213,0.06081574
ISIC_0152553,0.01963239
ISIC_0153127,0.09207177
ISIC_0154289,0.06727138
ISIC_0155813,0.45137444
ISIC_0155983,0.5197635
ISIC_0157088,0.035042673
ISIC_0158761,0.03292665
ISIC_0161963,0.33340612
ISIC_0165178,0.24748737
ISIC_0165230,0.15826978
ISIC_0165615,0.0081545515
ISIC_0165617,0.13055135
ISIC_0165674,0.026032725
ISIC_0165928,0.09388861
ISIC_0166561,0.020885855
ISIC_0168125,0.12187306
ISIC_0169378,0.037271183
ISIC_0169575,0.13096188
ISIC_0169906,0.6084067
ISIC_0171865,0.45543066
ISIC_0172678,0.025548467
ISIC_0174800,0.06625304
ISIC_0175014,0.16832466
ISIC_0175798,0.29248282
ISIC_0176152,0.14246291
ISIC_0177083,0.04976498
ISIC_0178235,0.5334391
ISIC_0178258,0.22464876
ISIC_0178428,0.24946596
ISIC_0178741,0.2327068
ISIC_0180057,0.09582018
ISIC_0182213,0.50831014
ISIC_0183334,0.01769369
ISIC_0183449,0.23565789
ISIC_0183658,0.03010399
ISIC_0183771,0.14246885
ISIC_0186715,0.37965396
ISIC_0187786,0.02511561
ISIC_0188485,0.12756287
ISIC_0191895,0.14887874
ISIC_0192184,0.12392038
ISIC_0192807,0.018343767
ISIC_0193289,0.2903137
ISIC_0194115,0.11615557
ISIC_0195744,0.09936583
ISIC_0195995,0.07176092
ISIC_0196159,0.40436468
ISIC_0196622,0.031829208
ISIC_0196807,0.17201059
ISIC_0197182,0.06879419
ISIC_0197440,0.16750397
ISIC_0197860,0.4232317
ISIC_0198376,0.018873185
ISIC_0198622,0.018083682
