image_name,target
ISIC_0052060,0.026268572
ISIC_0052349,0.026330322
ISIC_0058510,0.022222191
ISIC_0073313,0.016926885
ISIC_0073502,0.08118665
ISIC_0074618,0.022456616
ISIC_0076801,0.018838644
ISIC_0077586,0.035438508
ISIC_0082004,0.02874726
ISIC_0082785,0.06219572
ISIC_0085332,0.018846184
ISIC_0087243,0.015450001
ISIC_0088167,0.029195905
ISIC_0089356,0.019718826
ISIC_0090283,0.027737737
ISIC_0092481,0.022561818
ISIC_0095455,0.026842594
ISIC_0095790,0.014854968
ISIC_0097719,0.031263947
ISIC_0099348,0.02489385
ISIC_0101040,0.031898707
ISIC_0101383,0.01946193
ISIC_0105104,0.033551335
ISIC_0108196,0.020655692
ISIC_0112420,0.3618261
ISIC_0114232,0.017789543
ISIC_0115798,0.017837048
ISIC_0116844,0.018206656
ISIC_0126432,0.025205344
ISIC_0131485,0.021355778
ISIC_0131912,0.017412573
ISIC_0131978,0.017211974
ISIC_0139322,0.03660512
ISIC_0142066,0.038534462
ISIC_0143109,0.03866723
ISIC_0148210,0.036577433
ISIC_0148937,0.02774027
ISIC_0150213,0.03459084
ISIC_0152553,0.017285824
ISIC_0153127,0.024143606
ISIC_0154289,0.02814287
ISIC_0155813,0.13221115
ISIC_0155983,0.5414801
ISIC_0157088,0.019285083
ISIC_0158761,0.017391175
ISIC_0161963,0.03946826
ISIC_0165178,0.07327896
ISIC_0165230,0.10144684
ISIC_0165615,0.015462667
ISIC_0165617,0.02845797
ISIC_0165674,0.020014197
ISIC_0165928,0.041306436
ISIC_0166561,0.01635611
ISIC_0168125,0.027730256
ISIC_0169378,0.025514454
ISIC_0169575,0.02453503
ISIC_0169906,0.2937962
ISIC_0171865,0.11795151
ISIC_0172678,0.015904278
ISIC_0174800,0.029745549
ISIC_0175014,0.03888625
ISIC_0175798,0.12895381
ISIC_0176152,0.02488947
ISIC_0177083,0.030091047
ISIC_0178235,0.21489576
ISIC_0178258,0.022154838
ISIC_0178428,0.024764985
ISIC_0178741,0.030751705
ISIC_0180057,0.029569685
ISIC_0182213,0.24168867
ISIC_0183334,0.015726447
ISIC_0183449,0.060795814
ISIC_0183658,0.020507425
ISIC_0183771,0.027208
ISIC_0186715,0.07646304
ISIC_0187786,0.023627222
ISIC_0188485,0.026322812
ISIC_0191895,0.04419434
ISIC_0192184,0.024037361
ISIC_0192807,0.019228548
ISIC_0193289,0.040681154
ISIC_0194115,0.021100849
ISIC_0195744,0.026370347
ISIC_0195995,0.016125977
ISIC_0196159,0.07144478
ISIC_0196622,0.019575983
ISIC_0196807,0.027122438
ISIC_0197182,0.035102934
ISIC_0197440,0.042297363
ISIC_0197860,0.030760586
ISIC_0198376,0.021687359
ISIC_0198622,0.019421995
ISIC_0199195,0.020839125
ISIC_0199718,0.017725825
ISIC_0199780,0.019572109
ISIC_0200120,0.09139562
ISIC_0204399,0.015641838
ISIC_0204875,0.02467367
ISIC_0205627,0.023035377
ISIC_0206261,0.020970613
ISIC_0206934,0.07129213
ISIC_0207197,0.02339089
ISIC_0208233,0.23430347
ISIC_0209640,0.019214392
ISIC_0210915,0.022703439
ISIC_0212435,0.013230979
ISIC_0212468,0.015645891
ISIC_0213848,0.017171621
ISIC_0216203,0.020331234
ISIC_0216447,0.11183679
ISIC_0220438,0.63060695
ISIC_0220466,0.035713375
ISIC_0223354,0.017335713
ISIC_0223463,0.04357943
ISIC_0223760,0.021986842
ISIC_0224309,0.027579367
ISIC_0225471,0.02049914
ISIC_0225894,0.02769497
ISIC_0226234,0.018081158
ISIC_0227767,0.017014712
ISIC_0228452,0.026778877
ISIC_0229266,0.026126117
ISIC_0230247,0.019963354
ISIC_0230499,0.05540383
ISIC_0231539,0.024671912
ISIC_0231788,0.017697692
ISIC_0232763,0.027411401
ISIC_0235107,0.024683058
ISIC_0235501,0.14141959
ISIC_0235505,0.08118504
ISIC_0235542,0.02652368
ISIC_0238185,0.01698798
ISIC_0238872,0.0702278
ISIC_0239635,0.03958431
ISIC_0240839,0.02208829
ISIC_0241566,0.032509
ISIC_0243686,0.037832975
ISIC_0243937,0.014241695
ISIC_0244266,0.034819305
ISIC_0244465,0.024532855
ISIC_0244617,0.06581035
ISIC_0244885,0.02310142
ISIC_0245273,0.037105262
ISIC_0246008,0.022528708
ISIC_0246211,0.020611912
ISIC_0248702,0.0333153
ISIC_0251455,0.04297468
ISIC_0251656,0.052384675
ISIC_0252811,0.049912214
ISIC_0254594,0.016796201
ISIC_0255112,0.029891789
ISIC_0256267,0.019150287
ISIC_0258149,0.026012242
ISIC_0258489,0.030369401
ISIC_0258717,0.015650183
ISIC_0259209,0.04941848
ISIC_0259237,0.034524888
ISIC_0261866,0.03892985
ISIC_0261904,0.03774774
ISIC_0261907,0.016561836
ISIC_0262392,0.021359503
ISIC_0262492,0.023519516
ISIC_0263920,0.024798334
ISIC_0265011,0.01875621
ISIC_0267082,0.057463646
ISIC_0268025,0.022321224
ISIC_0268451,0.026176095
ISIC_0269476,0.017110944
ISIC_0270022,0.035933048
ISIC_0270367,0.022258103
ISIC_0271223,0.017032325
ISIC_0272190,0.03238669
ISIC_0273533,0.038054794
ISIC_0274458,0.048105925
ISIC_0274698,0.030932397
ISIC_0274789,0.38941088
ISIC_0276718,0.016712397
ISIC_0280382,0.019805014
ISIC_0280752,0.02955836
ISIC_0280782,0.085523814
ISIC_0280827,0.036063313
ISIC_0281227,0.023913085
ISIC_0282269,0.028936297
ISIC_0282486,0.021149516
ISIC_0282737,0.028727293
ISIC_0284147,0.016318083
ISIC_0284441,0.02660361
ISIC_0284485,0.025772959
ISIC_0285491,0.02565211
ISIC_0285697,0.03076899
ISIC_0286688,0.02214095
ISIC_0287132,0.021848947
ISIC_0287325,0.34346783
ISIC_0288225,0.024614573
ISIC_0290187,0.015166879
ISIC_0291705,0.015547037
ISIC_0292996,0.020971388
ISIC_0294150,0.029840738
ISIC_0296540,0.014791012
ISIC_0297539,0.03205976
ISIC_0297702,0.027383357
ISIC_0298417,0.040321857
ISIC_0299870,0.154493
ISIC_0300002,0.031892926
ISIC_0301547,0.027074754
ISIC_0301769,0.024301976
ISIC_0304467,0.015264243
ISIC_0304666,0.01614064
ISIC_0304667,0.048568785
ISIC_0306094,0.02115208
ISIC_0307004,0.03856942
ISIC_0307411,0.01652366
ISIC_0309192,0.030642867
ISIC_0309503,0.018164963
ISIC_0310320,0.039560437
ISIC_0311235,0.40664935
ISIC_0311814,0.024460793
ISIC_0312717,0.018064529
ISIC_0313675,0.019800246
ISIC_0317285,0.033610284
ISIC_0318934,0.016212374
ISIC_0319131,0.017769486
ISIC_0319990,0.027692169
ISIC_0320662,0.018518597
ISIC_0321218,0.048708797
ISIC_0321906,0.03812021
ISIC_0321948,0.029352605
ISIC_0322514,0.046072215
ISIC_0327756,0.031766355
ISIC_0328346,0.017812848
ISIC_0328687,0.024239242
ISIC_0328823,0.024386019
ISIC_0329169,0.026918769
ISIC_0329910,0.021292597
ISIC_0330060,0.03520888
ISIC_0330886,0.026334554
ISIC_0332421,0.07137853
ISIC_0332456,0.0700475
ISIC_0334179,0.036889583
ISIC_0335244,0.03986746
ISIC_0335886,0.040931374
ISIC_0336093,0.031160206
ISIC_0338118,0.03939712
ISIC_0338587,0.019896537
ISIC_0339455,0.037207842
ISIC_0340198,0.026852548
ISIC_0340572,0.03573394
ISIC_0341315,0.039404064
ISIC_0343131,0.06620741
ISIC_0343283,0.07984811
ISIC_0346766,0.031051785
ISIC_0347157,0.028162777
ISIC_0348342,0.029554844
ISIC_0350347,0.035736978
ISIC_0350470,0.016981661
ISIC_0351156,0.10518399
ISIC_0351912,0.029634804
ISIC_0352620,0.033043653
ISIC_0353021,0.016314596
ISIC_0355377,0.02702263
ISIC_0358260,0.017690986
ISIC_0358623,0.020727187
ISIC_0359676,0.019020557
ISIC_0359720,0.015944362
ISIC_0361122,0.015445948
ISIC_0366488,0.034994632
ISIC_0367795,0.042572796
ISIC_0367988,0.24386641
ISIC_0368092,0.022919148
ISIC_0368696,0.020533144
ISIC_0369888,0.033405393
ISIC_0370322,0.05351478
ISIC_0371470,0.018123984
ISIC_0371907,0.030828446
ISIC_0372927,0.03232512
ISIC_0372955,0.016080678
ISIC_0372971,0.017435044
ISIC_0373723,0.015573919
ISIC_0375431,0.030885369
ISIC_0377642,0.027837187
ISIC_0378391,0.031353027
ISIC_0378668,0.028691113
ISIC_0379549,0.015617907
ISIC_0380224,0.03960055
ISIC_0381595,0.060213417
ISIC_0382931,0.03712973
ISIC_0383641,0.10399577
ISIC_0383780,0.015932709
ISIC_0385415,0.21668994
ISIC_0385463,0.026113838
ISIC_0385865,0.028372794
ISIC_0388802,0.023035973
ISIC_0389010,0.05217156
ISIC_0389392,0.022568524
ISIC_0389675,0.020431727
ISIC_0390209,0.033696204
ISIC_0391046,0.15621486
ISIC_0391777,0.019090414
ISIC_0392680,0.036181837
ISIC_0392931,0.027733207
ISIC_0393891,0.016535193
ISIC_0394533,0.01933387
ISIC_0394763,0.017409444
ISIC_0394802,0.028779238
ISIC_0395681,0.017069548
ISIC_0395885,0.01775238
ISIC_0398134,0.028229803
ISIC_0400652,0.01784736
ISIC_0401679,0.024846733
ISIC_0403198,0.03187546
ISIC_0406137,0.017189533
ISIC_0407054,0.020791769
ISIC_0407220,0.022190154
ISIC_0408372,0.020561904
ISIC_0408969,0.01933688
ISIC_0409388,0.027018517
ISIC_0410649,0.03221339
ISIC_0411243,0.051403373
ISIC_0414776,0.029126972
ISIC_0416431,0.028217286
ISIC_0416708,0.019129902
ISIC_0418978,0.015744388
ISIC_0419005,0.036519825
ISIC_0421107,0.03645128
ISIC_0424070,0.022991985
ISIC_0426960,0.014417708
ISIC_0427371,0.019793242
ISIC_0429551,0.02871877
ISIC_0431350,0.02341804
ISIC_0431499,0.033399343
ISIC_0431738,0.020106405
ISIC_0432133,0.019689053
ISIC_0432265,0.03834352
ISIC_0432894,0.041318566
ISIC_0433895,0.037193716
ISIC_0434253,0.038577378
ISIC_0434274,0.021333843
ISIC_0434285,0.020685732
ISIC_0434890,0.031600505
ISIC_0434920,0.01940167
ISIC_0435283,0.045939386
ISIC_0435396,0.018829733
ISIC_0436298,0.023583561
ISIC_0436727,0.046200693
ISIC_0436779,0.020536184
ISIC_0436884,0.02140209
ISIC_0437081,0.039397717
ISIC_0437384,0.017359704
ISIC_0437987,0.034683377
ISIC_0438584,0.06826809
ISIC_0439475,0.027773112
ISIC_0441244,0.035654902
ISIC_0442293,0.040798783
ISIC_0442567,0.02963221
ISIC_0445097,0.016513854
ISIC_0446097,0.3461055
ISIC_0446287,0.028618485
ISIC_0446447,0.02976787
ISIC_0448691,0.021009028
ISIC_0450552,0.024674237
ISIC_0451155,0.05176881
ISIC_0451665,0.3089801
ISIC_0452297,0.022380024
ISIC_0453555,0.08762288
ISIC_0454124,0.026506633
ISIC_0454916,0.018382281
ISIC_0456176,0.18279994
ISIC_0456797,0.01588142
ISIC_0457344,0.021501422
ISIC_0457384,0.015331
ISIC_0457494,0.017789185
ISIC_0457530,0.028381258
ISIC_0457688,0.026632607
ISIC_0459718,0.021433383
ISIC_0460023,0.016979188
ISIC_0460170,0.12597778
ISIC_0460323,0.016544372
ISIC_0461615,0.027835667
ISIC_0462037,0.016028732
ISIC_0462120,0.024491519
ISIC_0462327,0.026732445
ISIC_0462336,0.022181362
ISIC_0462792,0.018930405
ISIC_0463800,0.020452082
ISIC_0464417,0.02171439
ISIC_0465975,0.020235986
ISIC_0467617,0.017525971
ISIC_0468644,0.022077441
ISIC_0469457,0.035428762
ISIC_0470465,0.12874526
ISIC_0470699,0.6334057
ISIC_0473489,0.034307152
ISIC_0474220,0.022826284
ISIC_0476927,0.022002667
ISIC_0477213,0.024950981
ISIC_0477217,0.019745618
ISIC_0477424,0.020157456
ISIC_0477793,0.12486759
ISIC_0477875,0.028566897
ISIC_0477986,0.020290405
ISIC_0479726,0.025382578
ISIC_0479755,0.03845504
ISIC_0480158,0.019141763
ISIC_0481105,0.4393159
ISIC_0482298,0.016623914
ISIC_0482617,0.022069126
ISIC_0485889,0.018520892
ISIC_0486436,0.018242866
ISIC_0487789,0.04633686
ISIC_0488846,0.017647862
ISIC_0490555,0.020690322
ISIC_0492058,0.027376175
ISIC_0493101,0.021527648
ISIC_0493429,0.036338657
ISIC_0493786,0.026582778
ISIC_0495167,0.045986384
ISIC_0495234,0.053450555
ISIC_0495887,0.26318255
ISIC_0495948,0.07351613
ISIC_0497721,0.023823231
ISIC_0498659,0.027532458
ISIC_0500319,0.019366205
ISIC_0500851,0.024600387
ISIC_0501199,0.06275475
ISIC_0501295,0.015098244
ISIC_0502032,0.0221546
ISIC_0502364,0.029120654
ISIC_0504453,0.03780833
ISIC_0504686,0.027694046
ISIC_0504935,0.019304454
ISIC_0505403,0.052948564
ISIC_0505447,0.019105256
ISIC_0506082,0.027069896
ISIC_0506198,0.018977344
ISIC_0508596,0.03401205
ISIC_0509538,0.01917541
ISIC_0510408,0.024663031
ISIC_0510439,0.017332673
ISIC_0510794,0.03260964
ISIC_0511981,0.098318845
ISIC_0513674,0.027760506
ISIC_0513808,0.018942565
ISIC_0515041,0.034100413
ISIC_0515737,0.026819825
ISIC_0517531,0.030790716
ISIC_0517673,0.029162794
ISIC_0519860,0.020623356
ISIC_0520611,0.03486815
ISIC_0521580,0.01611635
ISIC_0521689,0.01736787
ISIC_0521877,0.0151874125
ISIC_0522569,0.026725352
ISIC_0523596,0.03131312
ISIC_0524466,0.07273623
ISIC_0524604,0.030571103
ISIC_0525213,0.019845814
ISIC_0525405,0.024978697
ISIC_0527588,0.017886817
ISIC_0528304,0.035746604
ISIC_0528945,0.018585503
ISIC_0530946,0.024538577
ISIC_0532813,0.017188728
ISIC_0533917,0.022702903
ISIC_0535264,0.24955562
ISIC_0535812,0.071974844
ISIC_0536393,0.018291622
ISIC_0537310,0.04336512
ISIC_0537430,0.030768454
ISIC_0538335,0.028158069
ISIC_0538391,0.050003856
ISIC_0539046,0.029177964
ISIC_0539432,0.52895075
ISIC_0539662,0.021306276
ISIC_0541206,0.02262482
ISIC_0542744,0.029135734
ISIC_0542899,0.017481774
ISIC_0543866,0.017208397
ISIC_0544482,0.031248778
ISIC_0545219,0.030714005
ISIC_0545222,0.03136328
ISIC_0546119,0.027121246
ISIC_0546506,0.021002948
ISIC_0546632,0.03205821
ISIC_0546682,0.027259111
ISIC_0547086,0.026189953
ISIC_0548182,0.056390136
ISIC_0548968,0.03953594
ISIC_0550777,0.019537121
ISIC_0554395,0.018206477
ISIC_0554507,0.014880151
ISIC_0554535,0.014036745
ISIC_0554819,0.024248779
ISIC_0555540,0.041763157
ISIC_0556297,0.015722662
ISIC_0556505,0.060907304
ISIC_0556568,0.02250591
ISIC_0557285,0.020617664
ISIC_0557595,0.022348136
ISIC_0557850,0.023058206
ISIC_0558458,0.028889745
ISIC_0558563,0.013776451
ISIC_0558899,0.032393754
ISIC_0559101,0.06944159
ISIC_0561202,0.03980401
ISIC_0564203,0.019296527
ISIC_0565070,0.033171564
ISIC_0567332,0.13654175
ISIC_0570796,0.053277194
ISIC_0571162,0.027560204
ISIC_0571336,0.03357032
ISIC_0572486,0.020786166
ISIC_0574930,0.015012711
ISIC_0576125,0.025131524
ISIC_0578316,0.039236635
ISIC_0578354,0.080637306
ISIC_0579350,0.03095898
ISIC_0579367,0.075068444
ISIC_0580265,0.08357334
ISIC_0582447,0.03475055
ISIC_0582531,0.287898
ISIC_0583833,0.01694712
ISIC_0584197,0.033931315
ISIC_0585534,0.70713156
ISIC_0586493,0.021667212
ISIC_0586601,0.04224202
ISIC_0587024,0.09504163
ISIC_0587027,0.1061694
ISIC_0587527,0.035071313
ISIC_0588157,0.019108683
ISIC_0588162,0.02800721
ISIC_0588352,0.14962775
ISIC_0589061,0.017484933
ISIC_0590646,0.018239558
ISIC_0591142,0.28662407
ISIC_0591685,0.03112334
ISIC_0592225,0.026630312
ISIC_0592796,0.018610954
ISIC_0594374,0.018687129
ISIC_0594932,0.025053412
ISIC_0595682,0.03030914
ISIC_0596005,0.038401634
ISIC_0596499,0.021131396
ISIC_0598190,0.0165824
ISIC_0598769,0.021726727
ISIC_0600649,0.035682082
ISIC_0600710,0.061573
ISIC_0602170,0.018113941
ISIC_0602633,0.42790836
ISIC_0603307,0.019744337
ISIC_0604055,0.030255795
ISIC_0604516,0.023889005
ISIC_0605259,0.030255646
ISIC_0606244,0.098413944
ISIC_0607037,0.019962162
ISIC_0607397,0.014467329
ISIC_0607473,0.019825518
ISIC_0607693,0.015723139
ISIC_0608042,0.030012488
ISIC_0608105,0.03683746
ISIC_0608330,0.016672075
ISIC_0609220,0.012594402
ISIC_0609770,0.021902889
ISIC_0610325,0.037394762
ISIC_0611293,0.015114099
ISIC_0611390,0.027931482
ISIC_0611822,0.026582241
ISIC_0612337,0.017420292
ISIC_0613199,0.026140511
ISIC_0613239,0.01624766
ISIC_0613293,0.020356208
ISIC_0613555,0.027145684
ISIC_0613748,0.02788511
ISIC_0615241,0.03401491
ISIC_0616900,0.020115525
ISIC_0619695,0.020793766
ISIC_0620316,0.032105953
ISIC_0620379,0.04897803
ISIC_0620581,0.018428802
ISIC_0621355,0.022427797
ISIC_0621919,0.0212951
ISIC_0622203,0.015285641
ISIC_0622461,0.027347863
ISIC_0623254,0.037070632
ISIC_0623493,0.01761818
ISIC_0623650,0.029695153
ISIC_0624194,0.027599573
ISIC_0627128,0.053333342
ISIC_0627467,0.028623879
ISIC_0631039,0.03164518
ISIC_0633018,0.016964555
ISIC_0633831,0.038041383
ISIC_0634161,0.08114833
ISIC_0634896,0.03131318
ISIC_0635396,0.018868238
ISIC_0635721,0.026310503
ISIC_0636920,0.019623488
ISIC_0637104,0.6441021
ISIC_0637231,0.017205983
ISIC_0639631,0.029037386
ISIC_0640439,0.03380069
ISIC_0641371,0.0649828
ISIC_0644758,0.018895268
ISIC_0644873,0.033085704
ISIC_0645560,0.031530738
ISIC_0646211,0.030357063
ISIC_0646723,0.017500252
ISIC_0647385,0.09097773
ISIC_0649394,0.06569177
ISIC_0650063,0.55357563
ISIC_0650090,0.024790138
ISIC_0653629,0.024803936
ISIC_0653693,0.01900521
ISIC_0653761,0.01906854
ISIC_0654120,0.027077317
ISIC_0655378,0.019520074
ISIC_0655512,0.025165558
ISIC_0656308,0.022443026
ISIC_0660782,0.13566396
ISIC_0660925,0.12965736
ISIC_0662288,0.02331978
ISIC_0663197,0.030083776
ISIC_0663707,0.015558183
ISIC_0664454,0.021583647
ISIC_0664524,0.022431195
ISIC_0665430,0.026085436
ISIC_0665521,0.018305123
ISIC_0667449,0.026552916
ISIC_0668855,0.08945531
ISIC_0669360,0.038847446
ISIC_0671119,0.056051373
ISIC_0673217,0.034927547
ISIC_0673441,0.018867552
ISIC_0673705,0.026480973
ISIC_0673777,0.0198372
ISIC_0673970,0.030653507
ISIC_0674308,0.03457004
ISIC_0674636,0.02419576
